[4/19/23 12:14PM] Player picked up item: Imperial Minigun, id: 18636, amount: 1, owner: Norman	
[4/19/23 12:16PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Evil Pixels	
[4/19/23 12:16PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Evil Pixels	
[4/19/23 12:18PM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Evil Pixels	
[4/19/23 12:18PM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Evil Pixels	
[4/19/23 12:18PM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Evil Pixels	
[4/19/23 12:18PM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Evil Pixels	
[4/19/23 12:24PM] Player picked up item: Coin, id: 995, amount: 100, owner: Evil Pixels	
[4/19/23 12:24PM] Player picked up item: Coin, id: 995, amount: 100, owner: Evil Pixels	
[4/19/23 12:26PM] Player picked up item: Blurite Amulet, id: 19991, amount: 1, owner: Evil Pixels	
[4/19/23 12:31PM] Player picked up item: Coin, id: 995, amount: 600, owner: Evil Pixels	
[4/19/23 12:31PM] Player picked up item: Coin, id: 995, amount: 600, owner: Evil Pixels	
[4/19/23 12:36PM] Player picked up item: Imperial Box, id: 14487, amount: 1, owner: Evil Pixels	
[4/19/23 12:37PM] Player picked up item: Imperial gloves, id: 20091, amount: 1, owner: Evil Pixels	
[4/19/23 12:38PM] Player picked up item: Coin, id: 995, amount: 800, owner: Pr	
[4/19/23 12:39PM] Player picked up item: Imperial ring, id: 20093, amount: 1, owner: Evil Pixels	
[4/19/23 12:39PM] Player picked up item: Coin, id: 995, amount: 800, owner: Evil Pixels	
[4/19/23 12:45PM] Player picked up item: Coin, id: 995, amount: 2323517, owner: Evil Pixels	
[4/19/23 12:45PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Evil Pixels	
[4/19/23 12:46PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Evil Pixels	
[4/19/23 12:46PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Evil Pixels	
