[4/16/23 10:34AM] Player picked up item: Blurite Boots, id: 19989, amount: 1, owner: Atz	
[4/16/23 10:34AM] Player picked up item: Blurite Box, id: 14488, amount: 1, owner: Atz	
[4/16/23 10:34AM] Player picked up item: Blurite Box, id: 14488, amount: 1, owner: Atz	
[4/16/23 10:38AM] Player picked up item: Imperial legs, id: 20088, amount: 1, owner: Atz	
[4/16/23 10:38AM] Player picked up item: Imperial amulet, id: 20092, amount: 1, owner: Atz	
[4/16/23 10:39AM] Player picked up item: Imperial helm, id: 20086, amount: 1, owner: Atz	
[4/16/23 10:40AM] Player picked up item: Coin, id: 995, amount: 700, owner: Atz	
[4/16/23 10:43AM] Player picked up item: Imperial Box, id: 14487, amount: 1, owner: Atz	
[4/16/23 10:43AM] Player picked up item: Imperial Box, id: 14487, amount: 1, owner: Atz	
[4/16/23 10:46AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Atz	
[4/16/23 10:46AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Atz	
[4/16/23 10:54AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Atz	
[4/16/23 11:00AM] Player picked up item: Coin, id: 995, amount: 1500, owner: Atz	
[4/16/23 11:01AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Atz	
[4/16/23 11:01AM] Player picked up item: Coin, id: 995, amount: 3000, owner: Atz	
[4/16/23 11:01AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Atz	
[4/16/23 11:01AM] Player picked up item: Coin, id: 995, amount: 3000, owner: Atz	
[4/16/23 11:01AM] Player picked up item: Coin, id: 995, amount: 1500, owner: Atz	
[4/16/23 11:09AM] Player picked up item: Coin, id: 995, amount: 2000, owner: Atz	
[4/16/23 11:14AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Atz	
[4/16/23 11:24AM] Player picked up item: Coin, id: 995, amount: 1350246, owner: Atz	
[4/16/23 11:24AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Atz	
[4/16/23 11:27AM] Player picked up item: Coin, id: 995, amount: 2000, owner: Atz	
[4/16/23 11:28AM] Player picked up item: Coin, id: 995, amount: 2000, owner: Atz	
[4/16/23 11:29AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Atz	
[4/16/23 11:32AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Atz	
[4/16/23 11:32AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Atz	
[4/16/23 11:35AM] Player picked up item: Coin, id: 995, amount: 2000, owner: Atz	
[4/18/23 01:34AM] Player picked up item: Imperial Minigun, id: 18636, amount: 1, owner: Dopamine	
[4/18/23 05:00AM] Player picked up item: Inferno Shield, id: 13306, amount: 1, owner: Atz	
