[4/16/23 06:13PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fracture506	
[4/16/23 06:13PM] Player picked up item: Coin, id: 995, amount: 900, owner: Fracture506	
[4/16/23 06:13PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fracture506	
[4/16/23 06:13PM] Player picked up item: Coin, id: 995, amount: 900, owner: Fracture506	
[4/16/23 06:14PM] Player picked up item: Coin, id: 995, amount: 900, owner: Fracture506	
[4/16/23 06:14PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fracture506	
[4/16/23 06:15PM] Player picked up item: Coin, id: 995, amount: 3600, owner: Fracture506	
[4/16/23 06:15PM] Player picked up item: Lava bones, id: 2023, amount: 5, owner: Fracture506	
[4/16/23 06:15PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Fracture506	
[4/16/23 06:16PM] Player picked up item: Lava bones, id: 2023, amount: 4, owner: Fracture506	
[4/16/23 06:16PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fracture506	
[4/16/23 06:16PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Fracture506	
[4/16/23 06:16PM] Player picked up item: Imperial Box, id: 14487, amount: 1, owner: Fracture506	
[4/16/23 06:16PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Fracture506	
[4/16/23 06:16PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Fracture506	
[4/16/23 06:17PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fracture506	
[4/16/23 06:17PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Fracture506	
[4/16/23 06:17PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fracture506	
[4/16/23 06:17PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Fracture506	
[4/16/23 06:17PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Fracture506	
[4/16/23 06:18PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fracture506	
[4/16/23 06:18PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Fracture506	
[4/16/23 06:18PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fracture506	
[4/16/23 06:18PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Fracture506	
[4/16/23 06:18PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Fracture506	
[4/16/23 06:21PM] Player picked up item: Coin, id: 995, amount: 800, owner: Fracture506	
[4/16/23 06:22PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fracture506	
[4/16/23 06:22PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fracture506	
[4/16/23 06:22PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Fracture506	
[4/16/23 06:22PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fracture506	
[4/16/23 06:22PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fracture506	
[4/16/23 06:22PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Fracture506	
[4/16/23 06:22PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Fracture506	
[4/16/23 06:22PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fracture506	
[4/16/23 06:22PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fracture506	
[4/16/23 06:22PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Fracture506	
[4/16/23 06:22PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fracture506	
[4/16/23 06:22PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fracture506	
[4/16/23 06:23PM] Player picked up item: Coin, id: 995, amount: 1600, owner: Fracture506	
[4/16/23 06:23PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Fracture506	
[4/16/23 06:23PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fracture506	
[4/16/23 06:25PM] Player picked up item: Coin, id: 995, amount: 2404939, owner: Fracture506	
[4/16/23 06:25PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Fracture506	
[4/16/23 06:32PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Fracture506	
[4/16/23 06:32PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Fracture506	
[4/16/23 06:32PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fracture506	
[4/16/23 06:32PM] Player picked up item: Imperial amulet, id: 20092, amount: 1, owner: Fracture506	
[4/16/23 06:32PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fracture506	
[4/16/23 06:33PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fracture506	
[4/16/23 06:33PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Fracture506	
[4/16/23 06:33PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Fracture506	
[4/16/23 06:33PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fracture506	
[4/16/23 06:33PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Fracture506	
[4/16/23 06:33PM] Player picked up item: Coin, id: 995, amount: 600, owner: Fracture506	
[4/16/23 06:33PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Fracture506	
[4/16/23 06:33PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Fracture506	
[4/16/23 06:34PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Fracture506	
[4/16/23 06:34PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fracture506	
[4/16/23 06:44PM] Player picked up item: Coin, id: 995, amount: 900, owner: Fracture506	
[4/16/23 06:50PM] Player picked up item: Imperial gloves, id: 20091, amount: 1, owner: Fracture506	
[4/16/23 06:55PM] Player picked up item: Coin, id: 995, amount: 1523061, owner: Fracture506	
[4/16/23 06:55PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Fracture506	
[4/16/23 06:57PM] Player picked up item: Coin, id: 995, amount: 4000, owner: Fracture506	
[4/16/23 06:57PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Fracture506	
[4/16/23 06:59PM] Player picked up item: Coin, id: 995, amount: 800, owner: Fracture506	
[4/16/23 07:02PM] Player picked up item: Coin, id: 995, amount: 1400, owner: Fracture506	
[4/16/23 07:13PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Fracture506	
[4/16/23 07:14PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Fracture506	
[4/16/23 07:16PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Fracture506	
[4/16/23 07:19PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Fracture506	
[4/16/23 07:20PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Fracture506	
[4/16/23 07:20PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Fracture506	
[4/16/23 07:22PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Fracture506	
[4/16/23 07:23PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Fracture506	
[4/16/23 07:24PM] Player picked up item: Coin, id: 995, amount: 2439899, owner: Fracture506	
[4/16/23 07:24PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Fracture506	
[4/16/23 07:25PM] Player picked up item: Coin, id: 995, amount: 2380148, owner: Fracture506	
[4/16/23 07:25PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Fracture506	
[4/16/23 07:26PM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Fracture506	
[4/16/23 07:26PM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Fracture506	
[4/16/23 07:41PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Fracture506	
[4/16/23 07:41PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fracture506	
[4/16/23 07:43PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Fracture506	
[4/17/23 08:44PM] Player picked up item: Coin, id: 995, amount: 1964320, owner: Fracture506	
[4/17/23 08:44PM] Player picked up item: Lava bones, id: 2023, amount: 50, owner: Fracture506	
[4/17/23 08:46PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fracture506	
[4/20/23 02:36AM] Player picked up item: Coin, id: 995, amount: 2000, owner: Fracture506	
[4/20/23 02:53AM] Player picked up item: Coin, id: 995, amount: 1548174, owner: Fracture506	
[4/20/23 02:53AM] Player picked up item: Lava bones, id: 2023, amount: 50, owner: Fracture506	
