[4/22/23 05:42PM] Player picked up item: Coin, id: 995, amount: 100, owner: Pvmer96	
[4/22/23 05:42PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pvmer96	
[4/22/23 05:48PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Pvmer96	
[4/22/23 05:48PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Pvmer96	
[4/22/23 05:49PM] Player picked up item: Lava bones, id: 2023, amount: 5, owner: Pvmer96	
[4/22/23 05:49PM] Player picked up item: Lava bones, id: 2023, amount: 4, owner: Pvmer96	
[4/22/23 05:49PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pvmer96	
[4/22/23 05:49PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Pvmer96	
[4/22/23 05:49PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pvmer96	
[4/22/23 05:49PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pvmer96	
[4/22/23 05:49PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pvmer96	
[4/22/23 05:49PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pvmer96	
[4/22/23 05:49PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pvmer96	
[4/22/23 05:49PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pvmer96	
[4/22/23 05:50PM] Player picked up item: Coin, id: 995, amount: 1200, owner: Pvmer96	
[4/22/23 05:50PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Pvmer96	
[4/22/23 05:50PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Pvmer96	
[4/22/23 05:50PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pvmer96	
[4/22/23 05:50PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Pvmer96	
[4/22/23 05:51PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pvmer96	
[4/22/23 05:51PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Pvmer96	
[4/22/23 05:51PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Pvmer96	
[4/22/23 05:51PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Pvmer96	
[4/22/23 05:51PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pvmer96	
[4/22/23 05:52PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pvmer96	
[4/22/23 05:52PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pvmer96	
[4/22/23 05:52PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pvmer96	
[4/22/23 05:52PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Pvmer96	
[4/22/23 06:05PM] Player picked up item: Coin, id: 995, amount: 1397555, owner: Pvmer96	
[4/22/23 06:10PM] Player picked up item: Imperial ring, id: 20093, amount: 1, owner: Pvmer96	
[4/22/23 06:10PM] Player picked up item: Imperial ring, id: 20093, amount: 1, owner: Pvmer96	
[4/22/23 06:11PM] Player picked up item: Imperial legs, id: 20088, amount: 1, owner: Pvmer96	
[4/22/23 06:13PM] Player picked up item: Imperial gloves, id: 20091, amount: 1, owner: Pvmer96	
[4/22/23 06:14PM] Player picked up item: Imperial amulet, id: 20092, amount: 1, owner: Pvmer96	
[4/22/23 06:15PM] Player picked up item: Coin, id: 995, amount: 800, owner: Pvmer96	
[4/22/23 06:15PM] Player picked up item: Imperial ring, id: 20093, amount: 1, owner: Pvmer96	
[4/22/23 06:18PM] Player picked up item: Imperial ring, id: 20093, amount: 1, owner: Pvmer96	
[4/22/23 06:25PM] Player picked up item: Imperial body, id: 20087, amount: 1, owner: Pvmer96	
[4/22/23 06:27PM] Player picked up item: Imperial helm, id: 20086, amount: 1, owner: Pvmer96	
[4/22/23 06:41PM] Player picked up item: Coin, id: 995, amount: 3000, owner: Pvmer96	
[4/22/23 06:50PM] Player picked up item: Mystic legs, id: 23023, amount: 1, owner: Pvmer96	
[4/22/23 07:01PM] Player picked up item: Coin, id: 995, amount: 3000, owner: Pvmer96	
