[4/18/23 10:14AM] Player picked up item: Coin, id: 995, amount: 2457396, owner: Iron Life	
[4/18/23 10:14AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Iron Life	
[4/18/23 10:24AM] Player picked up item: Blurite Helm, id: 19984, amount: 1, owner: Iron Life	
[4/18/23 12:03PM] Player picked up item: Blurite Gloves, id: 19988, amount: 1, owner: Iron Life	
[4/18/23 12:11PM] Player picked up item: Coin, id: 995, amount: 1708443, owner: Iron Life	
[4/18/23 12:11PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Iron Life	
[4/18/23 03:27PM] Player picked up item: Coin, id: 995, amount: 1500, owner: Iron Life	
[4/18/23 03:30PM] Player picked up item: Coin, id: 995, amount: 3000, owner: Iron Life	
[4/18/23 04:11PM] Player picked up item: Coin, id: 995, amount: 1291019, owner: Iron Life	
[4/18/23 04:12PM] Player picked up item: Lava bones, id: 2023, amount: 50, owner: Iron Life	
[4/18/23 04:15PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Iron Life	
[4/18/23 04:15PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Iron Life	
[4/18/23 04:16PM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Iron Life	
[4/18/23 04:16PM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Iron Life	
[4/18/23 04:18PM] Player picked up item: Coin, id: 995, amount: 1500, owner: Iron Life	
[4/18/23 04:18PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Iron Life	
[4/18/23 04:24PM] Player picked up item: Mystic boots, id: 23025, amount: 1, owner: Iron Life	
[4/18/23 04:24PM] Player picked up item: Coin, id: 995, amount: 6000, owner: Iron Life	
[4/18/23 04:29PM] Player picked up item: Coin, id: 995, amount: 6000, owner: Iron Life	
[4/18/23 04:31PM] Player picked up item: Zinq body, id: 23051, amount: 1, owner: Iron Life	
[4/18/23 04:41PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Iron Life	
[4/18/23 04:55PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Iron Life	
[4/18/23 04:55PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Iron Life	
[4/18/23 05:09PM] Player picked up item: Zinq shield, id: 23056, amount: 1, owner: Iron Life	
[4/18/23 05:11PM] Player picked up item: Zinq body, id: 23051, amount: 1, owner: Iron Life	
[4/18/23 05:11PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Iron Life	
[4/18/23 05:11PM] Player picked up item: Coin, id: 995, amount: 1125419, owner: Iron Life	
[4/18/23 05:11PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Iron Life	
[4/18/23 05:12PM] Player picked up item: Zinq shield, id: 23056, amount: 1, owner: Iron Life	
[4/18/23 05:12PM] Player picked up item: Zinq shield, id: 23056, amount: 1, owner: Iron Life	
[4/18/23 06:28PM] Player picked up item: Revenant Boots, id: 18009, amount: 1, owner: Iron Life	
[4/24/23 02:47PM] Player picked up item: Sanctum Golem Pet, id: 19481, amount: 1, owner: Iron Life	
