[4/17/23 11:21AM] Player picked up item: Coin, id: 995, amount: 100, owner: Chevette	
[4/17/23 11:22AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Chevette	
[4/17/23 11:22AM] Player picked up item: Coin, id: 995, amount: 100, owner: Chevette	
[4/17/23 11:22AM] Player picked up item: Coin, id: 995, amount: 100, owner: Chevette	
[4/17/23 11:22AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Chevette	
[4/17/23 11:22AM] Player picked up item: Coin, id: 995, amount: 100, owner: Chevette	
[4/17/23 11:22AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Chevette	
[4/17/23 11:22AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Chevette	
[4/17/23 11:23AM] Player picked up item: Coin, id: 995, amount: 100, owner: Chevette	
[4/17/23 11:23AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Chevette	
[4/17/23 11:23AM] Player picked up item: Coin, id: 995, amount: 100, owner: Chevette	
[4/17/23 11:23AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Chevette	
[4/17/23 11:23AM] Player picked up item: Coin, id: 995, amount: 100, owner: Chevette	
[4/17/23 11:23AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Chevette	
[4/17/23 11:33AM] Player picked up item: Coin, id: 995, amount: 1925918, owner: Chevette	
[4/17/23 11:33AM] Player picked up item: Lava bones, id: 2023, amount: 50, owner: Chevette	
[4/17/23 11:41AM] Player picked up item: Coin, id: 995, amount: 300, owner: Chevette	
[4/17/23 11:54AM] Player picked up item: Imperial gloves, id: 20091, amount: 1, owner: Chevette	
[4/17/23 11:54AM] Player picked up item: Lava bones, id: 2023, amount: 600, owner: Chevette	
[4/17/23 11:55AM] Player picked up item: $1 Scroll, id: 10946, amount: 4, owner: Chevette	
[4/17/23 11:55AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Chevette	
[4/17/23 11:56AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Chevette	
[4/17/23 11:56AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Chevette	
[4/17/23 11:56AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Chevette	
[4/17/23 11:57AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Chevette	
[4/17/23 11:57AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Chevette	
[4/17/23 12:05PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Chevette	
[4/17/23 12:08PM] Player picked up item: Coin, id: 995, amount: 2289942, owner: Chevette	
[4/17/23 12:08PM] Player picked up item: Lava bones, id: 2023, amount: 50, owner: Chevette	
[4/17/23 12:09PM] Player picked up item: Lava bones, id: 2023, amount: 50, owner: Chevette	
[4/17/23 12:09PM] Player picked up item: Coin, id: 995, amount: 1560208, owner: Chevette	
[4/17/23 12:09PM] Player picked up item: Coin, id: 995, amount: 1082335, owner: Chevette	
[4/17/23 12:09PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Chevette	
[4/17/23 12:10PM] Player picked up item: Lava bones, id: 2023, amount: 200, owner: Chevette	
[4/17/23 12:10PM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Chevette	
[4/17/23 12:10PM] Player picked up item: Lava bones, id: 2023, amount: 200, owner: Chevette	
[4/17/23 12:10PM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Chevette	
[4/17/23 12:11PM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Chevette	
[4/17/23 12:11PM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Chevette	
[4/17/23 12:11PM] Player picked up item: Coin, id: 995, amount: 2484753, owner: Chevette	
[4/17/23 12:11PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Chevette	
[4/17/23 12:12PM] Player picked up item: Coin, id: 995, amount: 2603220, owner: Chevette	
[4/17/23 12:12PM] Player picked up item: Lava bones, id: 2023, amount: 80, owner: Chevette	
[4/17/23 12:12PM] Player picked up item: Lava bones, id: 2023, amount: 80, owner: Chevette	
[4/17/23 12:13PM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Chevette	
[4/17/23 12:13PM] Player picked up item: $1 Scroll, id: 10946, amount: 4, owner: Chevette	
[4/17/23 12:14PM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Chevette	
[4/17/23 12:14PM] Player picked up item: $1 Scroll, id: 10946, amount: 4, owner: Chevette	
