[4/18/23 02:27PM] Player picked up item: Coin, id: 995, amount: 100, owner: Kiwi	
[4/18/23 02:27PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Kiwi	
[4/18/23 02:27PM] Player picked up item: Coin, id: 995, amount: 100, owner: Kiwi	
[4/18/23 02:27PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Kiwi	
[4/18/23 02:27PM] Player picked up item: Coin, id: 995, amount: 100, owner: Kiwi	
[4/18/23 02:27PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Kiwi	
[4/18/23 02:27PM] Player picked up item: Coin, id: 995, amount: 100, owner: Kiwi	
[4/18/23 02:27PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Kiwi	
[4/18/23 02:27PM] Player picked up item: Coin, id: 995, amount: 100, owner: Kiwi	
[4/18/23 02:27PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Kiwi	
[4/18/23 02:27PM] Player picked up item: Coin, id: 995, amount: 100, owner: Kiwi	
[4/18/23 02:27PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Kiwi	
[4/18/23 02:27PM] Player picked up item: Coin, id: 995, amount: 100, owner: Kiwi	
[4/18/23 02:27PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Kiwi	
[4/18/23 02:27PM] Player picked up item: Coin, id: 995, amount: 100, owner: Kiwi	
[4/18/23 02:27PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Kiwi	
[4/18/23 02:27PM] Player picked up item: Blurite Ring, id: 19992, amount: 1, owner: Kiwi	
[4/18/23 02:28PM] Player picked up item: Coin, id: 995, amount: 100, owner: Kiwi	
[4/18/23 02:28PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Kiwi	
[4/18/23 02:28PM] Player picked up item: Coin, id: 995, amount: 100, owner: Kiwi	
[4/18/23 02:28PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Kiwi	
[4/18/23 02:28PM] Player picked up item: Coin, id: 995, amount: 200, owner: Kiwi	
[4/18/23 02:28PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Kiwi	
[4/18/23 02:28PM] Player picked up item: Blurite Box, id: 14488, amount: 1, owner: Kiwi	
[4/18/23 02:29PM] Player picked up item: Coin, id: 995, amount: 200, owner: Kiwi	
[4/18/23 02:29PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Kiwi	
