[4/18/23 06:09AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gekyume	
[4/18/23 06:09AM] Player picked up item: Coin, id: 995, amount: 100, owner: Gekyume	
[4/18/23 06:10AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gekyume	
[4/18/23 06:10AM] Player picked up item: Coin, id: 995, amount: 100, owner: Gekyume	
[4/18/23 06:11AM] Player picked up item: Coin, id: 995, amount: 100, owner: Gekyume	
[4/18/23 06:12AM] Player picked up item: Coin, id: 995, amount: 2334084, owner: Gekyume	
[4/18/23 06:12AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Gekyume	
[4/18/23 06:12AM] Player picked up item: Starter Legs, id: 705, amount: 1, owner: Gekyume	
[4/18/23 06:16AM] Player picked up item: Blurite Body, id: 19985, amount: 1, owner: Gekyume	
[4/18/23 06:25AM] Player picked up item: Coin, id: 995, amount: 300, owner: Gekyume	
[4/18/23 06:25AM] Player picked up item: Coin, id: 995, amount: 300, owner: Gekyume	
[4/18/23 06:27AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Gekyume	
[4/18/23 06:27AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Gekyume	
[4/18/23 06:28AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Gekyume	
[4/18/23 06:28AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Gekyume	
[4/18/23 10:32AM] Player picked up item: Lava bones, id: 2023, amount: 2971, owner: Gekyume	
[4/19/23 06:28AM] Player picked up item: Coin, id: 995, amount: 1242637, owner: Gekyume	
[4/19/23 06:28AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Gekyume	
[4/19/23 06:32AM] Player picked up item: Coin, id: 995, amount: 4289420, owner: Gekyume	
[4/19/23 06:32AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Gekyume	
[4/19/23 06:35AM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Gekyume	
[4/19/23 06:35AM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Gekyume	
[4/19/23 06:38AM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Gekyume	
[4/19/23 06:38AM] Player picked up item: $10 Bond, id: 23057, amount: 1, owner: Gekyume	
[4/19/23 06:38AM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Gekyume	
[4/19/23 06:44AM] Player picked up item: Coin, id: 995, amount: 100, owner: Gekyume	
[4/19/23 06:46AM] Player picked up item: Blurite Body, id: 19985, amount: 1, owner: Gekyume	
[4/19/23 06:59AM] Player picked up item: Lava bones, id: 2023, amount: 50, owner: Gekyume	
[4/19/23 07:00AM] Player picked up item: Coin, id: 995, amount: 1200, owner: Gekyume	
[4/19/23 07:02AM] Player picked up item: Imperial ring, id: 20093, amount: 1, owner: Gekyume	
[4/19/23 07:02AM] Player picked up item: Imperial ring, id: 20093, amount: 1, owner: Gekyume	
[4/19/23 07:02AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gekyume	
[4/19/23 07:02AM] Player picked up item: Imperial ring, id: 20093, amount: 1, owner: Gekyume	
[4/19/23 07:02AM] Player picked up item: Imperial ring, id: 20093, amount: 1, owner: Gekyume	
[4/19/23 07:02AM] Player picked up item: Coin, id: 995, amount: 1200, owner: Gekyume	
[4/19/23 07:03AM] Player picked up item: Coin, id: 995, amount: 1400, owner: Gekyume	
[4/19/23 07:04AM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Gekyume	
[4/19/23 07:04AM] Player picked up item: Imperial body, id: 20087, amount: 1, owner: Gekyume	
