[4/21/23 11:33PM] Player picked up item: Coin, id: 995, amount: 2443718, owner: Iron Beef	
[4/21/23 11:34PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Iron Beef	
[4/21/23 11:35PM] Player picked up item: Coin, id: 995, amount: 4122741, owner: Iron Beef	
[4/21/23 11:35PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Iron Beef	
[4/21/23 11:36PM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Iron Beef	
[4/21/23 11:36PM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Iron Beef	
[4/21/23 11:37PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Iron Beef	
[4/21/23 11:39PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Iron Beef	
[4/21/23 11:39PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Iron Beef	
[4/21/23 11:42PM] Player picked up item: Blurite Gloves, id: 19988, amount: 1, owner: Iron Beef	
[4/21/23 11:42PM] Player picked up item: Coin, id: 995, amount: 1000, owner: Iron Beef	
[4/21/23 11:43PM] Player picked up item: Coin, id: 995, amount: 500, owner: Iron Beef	
[4/21/23 11:43PM] Player picked up item: Coin, id: 995, amount: 1000, owner: Iron Beef	
[4/21/23 11:43PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Iron Beef	
[4/21/23 11:43PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Iron Beef	
[4/21/23 11:44PM] Player picked up item: Coin, id: 995, amount: 500, owner: Iron Beef	
[4/22/23 12:35AM] Player picked up item: Coin, id: 995, amount: 3367194, owner: Iron Beef	
[4/22/23 12:35AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Iron Beef	
[4/22/23 12:35AM] Player picked up item: Coin, id: 995, amount: 1117761, owner: Iron Beef	
[4/22/23 12:35AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Iron Beef	
[4/22/23 12:36AM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Iron Beef	
[4/22/23 12:36AM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Iron Beef	
[4/22/23 01:03AM] Player picked up item: Coin, id: 995, amount: 2418623, owner: Iron Beef	
