[4/20/23 07:35AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Palestine	
[4/20/23 07:35AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Palestine	
[4/20/23 08:21AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Palestine	
[4/20/23 08:22AM] Player picked up item: Coin, id: 995, amount: 2096968, owner: Palestine	
[4/20/23 08:22AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Palestine	
[4/20/23 08:51AM] Player picked up item: Coin, id: 995, amount: 1867150, owner: Palestine	
[4/20/23 08:51AM] Player picked up item: Lava bones, id: 2023, amount: 50, owner: Palestine	
[4/20/23 12:20PM] Player picked up item: Coin, id: 995, amount: 1669225, owner: Palestine	
[4/20/23 12:20PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Palestine	
[4/20/23 12:21PM] Player picked up item: Coin, id: 995, amount: 4498252, owner: Palestine	
[4/20/23 12:21PM] Player picked up item: Lava bones, id: 2023, amount: 80, owner: Palestine	
[4/20/23 12:22PM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Palestine	
[4/20/23 12:22PM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Palestine	
[4/20/23 12:23PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Palestine	
[4/20/23 12:23PM] Player picked up item: Vote scroll, id: 23020, amount: 6, owner: Palestine	
[4/20/23 12:50PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Palestine	
[4/20/23 01:34PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Palestine	
[4/20/23 01:34PM] Player picked up item: Vote scroll, id: 23020, amount: 6, owner: Palestine	
[4/20/23 02:50PM] Player picked up item: Coin, id: 995, amount: 1463253, owner: Palestine	
[4/20/23 02:50PM] Player picked up item: Lava bones, id: 2023, amount: 50, owner: Palestine	
[4/20/23 02:53PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Palestine	
[4/20/23 02:53PM] Player picked up item: Vote scroll, id: 23020, amount: 6, owner: Palestine	
[4/20/23 03:20PM] Player picked up item: Coin, id: 995, amount: 1368712, owner: Palestine	
[4/20/23 03:20PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Palestine	
[4/20/23 03:21PM] Player picked up item: Coin, id: 995, amount: 2567644, owner: Palestine	
[4/20/23 03:21PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Palestine	
[4/20/23 03:22PM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Palestine	
[4/20/23 03:22PM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Palestine	
[4/20/23 03:23PM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Palestine	
[4/20/23 03:23PM] Player picked up item: $1 Scroll, id: 10946, amount: 4, owner: Palestine	
[4/20/23 04:45PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Palestine	
[4/20/23 04:45PM] Player picked up item: Vote scroll, id: 23020, amount: 6, owner: Palestine	
[4/20/23 04:50PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Palestine	
[4/20/23 06:20PM] Player picked up item: Coin, id: 995, amount: 2192626, owner: Palestine	
[4/20/23 06:20PM] Player picked up item: Lava bones, id: 2023, amount: 50, owner: Palestine	
[4/20/23 06:21PM] Player picked up item: Coin, id: 995, amount: 4401847, owner: Palestine	
[4/20/23 06:21PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Palestine	
[4/20/23 06:22PM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Palestine	
[4/20/23 06:41PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Palestine	
[4/20/23 06:41PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Palestine	
[4/21/23 03:08PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Grenadez	
[4/21/23 03:08PM] Player picked up item: Vote scroll, id: 23020, amount: 6, owner: Grenadez	
[4/21/23 03:08PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Eco	
