[4/15/23 02:39PM] Player picked up item: EXP Potion (Divine), id: 1033, amount: 1, owner: Dead	
[4/15/23 02:39PM] Player picked up item: DMG Potion (Mortal), id: 3090, amount: 1, owner: Dead	
[4/15/23 02:41PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Dead	
[4/15/23 02:41PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Dead	
[4/15/23 02:41PM] Player picked up item: Coin, id: 995, amount: 100, owner: Dead	
[4/15/23 02:41PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Dead	
[4/15/23 02:41PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Dead	
[4/15/23 02:41PM] Player picked up item: Coin, id: 995, amount: 200, owner: Dead	
[4/15/23 02:42PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Dead	
[4/15/23 02:42PM] Player picked up item: Coin, id: 995, amount: 100, owner: Dead	
[4/15/23 02:42PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Dead	
[4/15/23 02:42PM] Player picked up item: Coin, id: 995, amount: 100, owner: Dead	
[4/15/23 02:42PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Dead	
[4/15/23 02:42PM] Player picked up item: Coin, id: 995, amount: 100, owner: Dead	
[4/15/23 02:42PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Dead	
[4/15/23 02:42PM] Player picked up item: Coin, id: 995, amount: 100, owner: Dead	
[4/15/23 02:42PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Dead	
[4/15/23 02:42PM] Player picked up item: Coin, id: 995, amount: 100, owner: Dead	
[4/15/23 02:42PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Dead	
[4/15/23 02:42PM] Player picked up item: Coin, id: 995, amount: 100, owner: Dead	
[4/15/23 02:42PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Dead	
[4/15/23 02:42PM] Player picked up item: Coin, id: 995, amount: 100, owner: Dead	
[4/15/23 02:42PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Dead	
[4/15/23 02:42PM] Player picked up item: Coin, id: 995, amount: 100, owner: Dead	
[4/15/23 02:42PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Dead	
[4/15/23 02:43PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Dead	
[4/15/23 02:43PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Dead	
[4/15/23 02:43PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Dead	
[4/15/23 02:43PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Dead	
[4/15/23 02:43PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Dead	
[4/15/23 02:43PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Dead	
[4/15/23 02:43PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Dead	
[4/15/23 02:44PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Dead	
[4/15/23 02:44PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Dead	
[4/15/23 02:44PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Dead	
[4/15/23 02:44PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Dead	
[4/15/23 02:44PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Dead	
[4/15/23 02:45PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Dead	
[4/15/23 02:45PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Dead	
[4/15/23 02:45PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Dead	
[4/15/23 02:45PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Dead	
[4/15/23 02:45PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Dead	
[4/15/23 02:45PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Dead	
