[4/17/23 05:08AM] Player picked up item: Coin, id: 995, amount: 100, owner: J	
[4/17/23 05:08AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: J	
[4/17/23 05:09AM] Player picked up item: Coin, id: 995, amount: 100, owner: J	
[4/17/23 05:09AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: J	
[4/17/23 05:09AM] Player picked up item: Coin, id: 995, amount: 100, owner: J	
[4/17/23 05:09AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: J	
[4/17/23 05:09AM] Player picked up item: Coin, id: 995, amount: 100, owner: J	
[4/17/23 05:09AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: J	
[4/17/23 05:09AM] Player picked up item: Coin, id: 995, amount: 100, owner: J	
[4/17/23 05:09AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: J	
[4/17/23 05:09AM] Player picked up item: Coin, id: 995, amount: 100, owner: J	
[4/17/23 05:09AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: J	
[4/17/23 05:09AM] Player picked up item: Coin, id: 995, amount: 100, owner: J	
[4/17/23 05:09AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: J	
