[4/15/23 03:38AM] Player picked up item: Coin, id: 995, amount: 100, owner: Supernum69	
[4/15/23 03:38AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Supernum69	
[4/15/23 03:39AM] Player picked up item: Coin, id: 995, amount: 100, owner: Supernum69	
[4/15/23 03:39AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Supernum69	
[4/15/23 03:39AM] Player picked up item: Coin, id: 995, amount: 100, owner: Supernum69	
[4/15/23 03:39AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Supernum69	
[4/15/23 03:39AM] Player picked up item: Coin, id: 995, amount: 100, owner: Supernum69	
[4/15/23 03:39AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Supernum69	
[4/15/23 03:39AM] Player picked up item: Coin, id: 995, amount: 100, owner: Supernum69	
[4/15/23 03:39AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Supernum69	
[4/15/23 03:39AM] Player picked up item: Coin, id: 995, amount: 100, owner: Supernum69	
[4/15/23 03:39AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Supernum69	
[4/15/23 03:40AM] Player picked up item: Coin, id: 995, amount: 100, owner: Supernum69	
[4/15/23 03:40AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Supernum69	
[4/15/23 03:40AM] Player picked up item: Coin, id: 995, amount: 100, owner: Supernum69	
[4/15/23 03:40AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Supernum69	
[4/15/23 03:40AM] Player picked up item: Coin, id: 995, amount: 100, owner: Supernum69	
[4/15/23 03:40AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Supernum69	
