[4/16/23 05:54PM] Player picked up item: Coin, id: 995, amount: 1091169, owner: Cubs	
[4/16/23 05:54PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Cubs	
[4/16/23 06:02PM] Player picked up item: Blurite Cape, id: 20400, amount: 1, owner: Cubs	
[4/16/23 06:15PM] Player picked up item: Blurite Gloves, id: 19988, amount: 1, owner: Cubs	
[4/16/23 06:25PM] Player picked up item: Lava bones, id: 2023, amount: 50, owner: Cubs	
[4/16/23 06:25PM] Player picked up item: Coin, id: 995, amount: 1180138, owner: Cubs	
[4/16/23 06:27PM] Player picked up item: Coin, id: 995, amount: 2948321, owner: Cubs	
[4/16/23 06:27PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Cubs	
[4/16/23 06:46PM] Player picked up item: Blurite Helm, id: 19984, amount: 1, owner: Cubs	
[4/16/23 06:49PM] Player picked up item: Blurite Legs, id: 19986, amount: 1, owner: Cubs	
[4/16/23 06:49PM] Player picked up item: Blurite Legs, id: 19986, amount: 1, owner: Cubs	
[4/16/23 06:55PM] Player picked up item: Coin, id: 995, amount: 1648140, owner: Cubs	
[4/16/23 06:55PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Cubs	
[4/16/23 07:24PM] Player picked up item: Coin, id: 995, amount: 2407656, owner: Cubs	
[4/16/23 07:24PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Cubs	
[4/16/23 07:25PM] Player picked up item: Coin, id: 995, amount: 4134139, owner: Cubs	
[4/16/23 07:25PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Cubs	
[4/16/23 07:26PM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Cubs	
[4/16/23 07:26PM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Cubs	
[4/16/23 07:54PM] Player picked up item: Coin, id: 995, amount: 1437118, owner: Cubs	
[4/16/23 07:54PM] Player picked up item: Lava bones, id: 2023, amount: 50, owner: Cubs	
[4/16/23 08:24PM] Player picked up item: Coin, id: 995, amount: 1177822, owner: Cubs	
[4/16/23 08:24PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Cubs	
[4/16/23 08:25PM] Player picked up item: Coin, id: 995, amount: 3539175, owner: Cubs	
[4/16/23 08:25PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Cubs	
[4/16/23 08:26PM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Cubs	
[4/16/23 08:26PM] Player picked up item: $1 Scroll, id: 10946, amount: 4, owner: Cubs	
[4/16/23 08:57PM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Cubs	
[4/16/23 08:57PM] Player picked up item: $1 Scroll, id: 10946, amount: 4, owner: Cubs	
[4/16/23 09:44PM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Cubs	
[4/16/23 09:44PM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Cubs	
[4/16/23 09:44PM] Player picked up item: Lava bones, id: 2023, amount: 200, owner: Zshana	
[4/16/23 09:46PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Cubs	
[4/16/23 09:46PM] Player picked up item: $1 Scroll, id: 10946, amount: 10, owner: Cubs	
[4/16/23 10:13PM] Player picked up item: Coin, id: 995, amount: 1248023, owner: Cubs	
[4/16/23 10:13PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Cubs	
[4/17/23 01:33PM] Player picked up item: Coin, id: 995, amount: 2392063, owner: Cubs	
[4/17/23 01:33PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Cubs	
[4/17/23 01:33PM] Player picked up item: Coin, id: 995, amount: 2596593, owner: Cubs	
[4/17/23 01:33PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Cubs	
[4/17/23 02:03PM] Player picked up item: Coin, id: 995, amount: 2067305, owner: Cubs	
[4/17/23 02:03PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Cubs	
[4/17/23 03:33PM] Player picked up item: Coin, id: 995, amount: 2254426, owner: Cubs	
[4/17/23 03:33PM] Player picked up item: Lava bones, id: 2023, amount: 50, owner: Cubs	
[4/17/23 03:34PM] Player picked up item: Coin, id: 995, amount: 4321934, owner: Cubs	
[4/17/23 03:34PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Cubs	
