[4/19/23 05:10PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ascaris	
[4/19/23 05:10PM] Player picked up item: Coin, id: 995, amount: 100, owner: Ascaris	
[4/19/23 05:10PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ascaris	
[4/19/23 05:11PM] Player picked up item: Lava bones, id: 2023, amount: 12, owner: Ascaris	
[4/19/23 05:11PM] Player picked up item: Coin, id: 995, amount: 500, owner: Ascaris	
[4/19/23 05:14PM] Player picked up item: Coin, id: 995, amount: 2017172, owner: Ascaris	
[4/19/23 05:14PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Ascaris	
[4/19/23 05:16PM] Player picked up item: Lava bones, id: 2023, amount: 8, owner: Ascaris	
[4/19/23 05:16PM] Player picked up item: Coin, id: 995, amount: 800, owner: Ascaris	
[4/19/23 05:16PM] Player picked up item: Lava bones, id: 2023, amount: 5, owner: Ascaris	
[4/19/23 05:16PM] Player picked up item: Coin, id: 995, amount: 600, owner: Ascaris	
[4/19/23 05:17PM] Player picked up item: Coin, id: 995, amount: 200, owner: Ascaris	
[4/19/23 05:17PM] Player picked up item: Coin, id: 995, amount: 200, owner: Ascaris	
[4/19/23 05:17PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ascaris	
[4/19/23 05:17PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Ascaris	
[4/19/23 05:17PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ascaris	
[4/19/23 05:17PM] Player picked up item: Coin, id: 995, amount: 200, owner: Ascaris	
[4/19/23 05:17PM] Player picked up item: Coin, id: 995, amount: 200, owner: Ascaris	
[4/19/23 05:17PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ascaris	
[4/19/23 05:17PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ascaris	
[4/19/23 05:22PM] Player picked up item: Coin, id: 995, amount: 3000, owner: Ascaris	
[4/19/23 05:22PM] Player picked up item: Lava bones, id: 2023, amount: 24, owner: Ascaris	
[4/19/23 05:22PM] Player picked up item: Blurite Ring, id: 19992, amount: 1, owner: Ascaris	
[4/19/23 05:22PM] Player picked up item: Blurite Ring, id: 19992, amount: 1, owner: Ascaris	
[4/19/23 05:22PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Ascaris	
[4/19/23 05:22PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ascaris	
[4/19/23 05:23PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ascaris	
[4/19/23 05:23PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Ascaris	
[4/19/23 05:23PM] Player picked up item: Coin, id: 995, amount: 600, owner: Ascaris	
[4/19/23 05:23PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Ascaris	
[4/19/23 05:23PM] Player picked up item: Coin, id: 995, amount: 600, owner: Ascaris	
[4/19/23 05:23PM] Player picked up item: Lava bones, id: 2023, amount: 4, owner: Ascaris	
[4/19/23 05:23PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ascaris	
[4/19/23 05:23PM] Player picked up item: Coin, id: 995, amount: 300, owner: Ascaris	
[4/19/23 05:23PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ascaris	
[4/19/23 05:26PM] Player picked up item: Coin, id: 995, amount: 2800, owner: Ascaris	
[4/19/23 05:26PM] Player picked up item: Coin, id: 995, amount: 400, owner: Ascaris	
[4/19/23 05:26PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Ascaris	
[4/19/23 05:26PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ascaris	
[4/19/23 05:28PM] Player picked up item: Blurite Box, id: 14488, amount: 1, owner: Ascaris	
[4/19/23 05:29PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Ascaris	
[4/19/23 05:29PM] Player picked up item: Coin, id: 995, amount: 400, owner: Ascaris	
[4/19/23 05:29PM] Player picked up item: Coin, id: 995, amount: 800, owner: Ascaris	
