[4/22/23 01:46AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Jimjim	
[4/22/23 01:46AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Jimjim	
[4/22/23 01:48AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Jimjim	
[4/22/23 01:48AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Jimjim	
[4/26/23 07:06AM] Player picked up item: Coin, id: 995, amount: 1737224, owner: Jimjim	
[4/26/23 07:06AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Jimjim	
[4/26/23 07:08AM] Player picked up item: Coin, id: 995, amount: 4403724, owner: Jimjim	
[4/26/23 07:08AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Jimjim	
[4/26/23 07:09AM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Jimjim	
[4/26/23 07:09AM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Jimjim	
[4/26/23 07:18AM] Player picked up item: Sinful Staff, id: 14377, amount: 1, owner: Jimjim	
[4/26/23 07:19AM] Player picked up item: Sinful Gloves, id: 12864, amount: 1, owner: Jimjim	
[4/26/23 07:20AM] Player picked up item: Sinful Bottom, id: 14734, amount: 1, owner: Jimjim	
[4/26/23 07:36AM] Player picked up item: Coin, id: 995, amount: 2309674, owner: Jimjim	
[4/26/23 07:36AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Jimjim	
[4/26/23 07:39AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Jimjim	
[4/26/23 07:39AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Jimjim	
[4/26/23 07:40AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Jimjim	
[4/26/23 07:40AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Jimjim	
[4/26/23 07:40AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Redx12	
[4/26/23 07:46AM] Player picked up item: Coin, id: 995, amount: 60000, owner: Jimjim	
[4/26/23 07:47AM] Player picked up item: Coin, id: 995, amount: 24000, owner: Jimjim	
[4/26/23 07:48AM] Player picked up item: Coin, id: 995, amount: 84000, owner: Jimjim	
[4/26/23 08:01AM] Player picked up item: Titan Chaps, id: 8805, amount: 1, owner: Jimjim	
[4/26/23 08:03AM] Player picked up item: Coin, id: 995, amount: 16000, owner: Jimjim	
[4/26/23 08:03AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Jimjim	
[4/26/23 08:03AM] Player picked up item: Coin, id: 995, amount: 32000, owner: Jimjim	
[4/26/23 08:06AM] Player picked up item: Coin, id: 995, amount: 1834012, owner: Jimjim	
[4/26/23 08:06AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Jimjim	
[4/26/23 08:08AM] Player picked up item: Coin, id: 995, amount: 2443466, owner: Jimjim	
[4/26/23 08:08AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Jimjim	
[4/26/23 08:10AM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Jimjim	
[4/26/23 08:10AM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Jimjim	
[4/26/23 09:23AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Redx12	
[4/26/23 09:23AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Redx12	
[4/26/23 11:12AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Thnk	
[4/26/23 11:12AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Thnk	
[4/26/23 11:12AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Noro	
