[4/17/23 08:18PM] Player picked up item: Coin, id: 995, amount: 200, owner: Doidao	
[4/17/23 08:18PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Doidao	
[4/17/23 08:18PM] Player picked up item: Coin, id: 995, amount: 100, owner: Doidao	
[4/17/23 08:18PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Doidao	
[4/17/23 08:18PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Doidao	
[4/17/23 08:18PM] Player picked up item: Coin, id: 995, amount: 100, owner: Doidao	
[4/17/23 08:18PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Doidao	
[4/17/23 08:20PM] Player picked up item: Coin, id: 995, amount: 100, owner: Doidao	
[4/17/23 08:20PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Doidao	
[4/17/23 08:20PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Doidao	
[4/17/23 08:20PM] Player picked up item: Coin, id: 995, amount: 100, owner: Doidao	
[4/17/23 08:20PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Doidao	
[4/17/23 08:20PM] Player picked up item: Coin, id: 995, amount: 100, owner: Doidao	
[4/17/23 08:20PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Doidao	
[4/17/23 08:21PM] Player picked up item: Coin, id: 995, amount: 100, owner: Doidao	
[4/17/23 08:21PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Doidao	
[4/17/23 08:21PM] Player picked up item: Coin, id: 995, amount: 200, owner: Doidao	
[4/17/23 08:21PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Doidao	
[4/17/23 08:21PM] Player picked up item: Coin, id: 995, amount: 200, owner: Doidao	
[4/17/23 08:21PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Doidao	
[4/17/23 08:21PM] Player picked up item: Coin, id: 995, amount: 200, owner: Doidao	
[4/17/23 08:21PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Doidao	
[4/17/23 08:22PM] Player picked up item: Coin, id: 995, amount: 200, owner: Doidao	
[4/17/23 08:22PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Doidao	
