[4/15/23 08:22AM] Player picked up item: Coin, id: 995, amount: 300, owner: Hiro	
[4/15/23 08:22AM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Hiro	
[4/15/23 08:22AM] Player picked up item: Coin, id: 995, amount: 100, owner: Peg Legs	
[4/15/23 08:22AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Peg Legs	
[4/15/23 08:22AM] Player picked up item: Coin, id: 995, amount: 100, owner: Peg Legs	
[4/15/23 08:22AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Peg Legs	
[4/15/23 08:22AM] Player picked up item: Coin, id: 995, amount: 200, owner: Peg Legs	
[4/15/23 08:22AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Peg Legs	
[4/15/23 08:23AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Peg Legs	
[4/15/23 08:24AM] Player picked up item: Coin, id: 995, amount: 200, owner: Peg Legs	
[4/15/23 08:24AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Peg Legs	
[4/15/23 08:24AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Peg Legs	
[4/15/23 08:24AM] Player picked up item: Coin, id: 995, amount: 200, owner: Peg Legs	
[4/15/23 08:24AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Peg Legs	
[4/15/23 08:24AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Peg Legs	
[4/15/23 08:27AM] Player picked up item: Coin, id: 995, amount: 300, owner: Peg Legs	
[4/15/23 08:29AM] Player picked up item: DMG Potion (Mortal), id: 3090, amount: 1, owner: Peg Legs	
[4/15/23 08:29AM] Player picked up item: Coin, id: 995, amount: 3176232, owner: Peg Legs	
[4/15/23 08:30AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Peg Legs	
[4/15/23 08:38AM] Player picked up item: Coin, id: 995, amount: 1200, owner: Peg Legs	
[4/15/23 08:38AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Peg Legs	
[4/15/23 08:42AM] Player picked up item: Coin, id: 995, amount: 1400, owner: Peg Legs	
[4/15/23 08:43AM] Player picked up item: Imperial boots, id: 20089, amount: 1, owner: Peg Legs	
[4/15/23 08:45AM] Player picked up item: Coin, id: 995, amount: 1800, owner: Peg Legs	
[4/15/23 08:45AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Peg Legs	
[4/15/23 08:46AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Peg Legs	
[4/15/23 08:46AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Peg Legs	
[4/15/23 08:46AM] Player picked up item: Coin, id: 995, amount: 8000, owner: Peg Legs	
[4/15/23 08:46AM] Player picked up item: Coin, id: 995, amount: 4000, owner: Peg Legs	
[4/15/23 08:47AM] Player picked up item: Coin, id: 995, amount: 24000, owner: Peg Legs	
[4/15/23 08:52AM] Player picked up item: Coin, id: 995, amount: 2800, owner: Peg Legs	
[4/15/23 08:55AM] Player picked up item: Coin, id: 995, amount: 1600, owner: Peg Legs	
[4/15/23 08:55AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Peg Legs	
[4/15/23 09:00AM] Player picked up item: Coin, id: 995, amount: 4853220, owner: Peg Legs	
[4/15/23 09:00AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Peg Legs	
[4/15/23 09:01AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Peg Legs	
[4/15/23 09:01AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Peg Legs	
[4/15/23 09:04AM] Player picked up item: Coin, id: 995, amount: 1800, owner: Peg Legs	
[4/15/23 09:05AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Peg Legs	
[4/15/23 09:07AM] Player picked up item: Coin, id: 995, amount: 3600, owner: Peg Legs	
[4/15/23 09:08AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Peg Legs	
