[4/16/23 11:27AM] Player picked up item: Coin, id: 995, amount: 100, owner: Gim 07	
[4/16/23 11:27AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gim 07	
[4/16/23 11:27AM] Player picked up item: Coin, id: 995, amount: 100, owner: Gim 07	
[4/16/23 11:27AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gim 07	
[4/16/23 11:27AM] Player picked up item: Coin, id: 995, amount: 100, owner: Gim 07	
[4/16/23 11:27AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gim 07	
[4/16/23 11:28AM] Player picked up item: Coin, id: 995, amount: 100, owner: Gim 07	
[4/16/23 11:28AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gim 07	
[4/16/23 11:28AM] Player picked up item: Coin, id: 995, amount: 100, owner: Gim 07	
[4/16/23 11:28AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gim 07	
[4/16/23 11:28AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gim 07	
[4/16/23 11:28AM] Player picked up item: Coin, id: 995, amount: 100, owner: Gim 07	
[4/16/23 11:28AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gim 07	
[4/16/23 11:28AM] Player picked up item: Coin, id: 995, amount: 100, owner: Gim 07	
[4/16/23 11:28AM] Player picked up item: Coin, id: 995, amount: 100, owner: Gim 07	
[4/16/23 11:28AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gim 07	
[4/16/23 11:28AM] Player picked up item: Coin, id: 995, amount: 100, owner: Gim 07	
[4/16/23 11:28AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gim 07	
[4/16/23 11:28AM] Player picked up item: Coin, id: 995, amount: 100, owner: Gim 07	
[4/16/23 11:28AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Gim 07	
[4/16/23 11:29AM] Player picked up item: Blurite Amulet, id: 19991, amount: 1, owner: Gim 07	
[4/16/23 11:31AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Gim 07	
[4/16/23 11:32AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Gim 07	
