[4/15/23 12:45AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Mysterious	
[4/15/23 12:46AM] Player picked up item: Coin, id: 995, amount: 100, owner: Mysterious	
[4/15/23 12:46AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Mysterious	
[4/15/23 12:47AM] Player picked up item: Coin, id: 995, amount: 100, owner: Mysterious	
[4/15/23 12:47AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Mysterious	
[4/15/23 12:47AM] Player picked up item: Coin, id: 995, amount: 100, owner: Mysterious	
[4/15/23 12:47AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Mysterious	
[4/15/23 12:47AM] Player picked up item: Coin, id: 995, amount: 100, owner: Mysterious	
[4/15/23 12:47AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Mysterious	
[4/15/23 12:49AM] Player picked up item: Coin, id: 995, amount: 100, owner: Mysterious	
[4/15/23 12:49AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Mysterious	
[4/15/23 12:49AM] Player picked up item: Coin, id: 995, amount: 100, owner: Mysterious	
[4/15/23 12:49AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Mysterious	
[4/15/23 12:49AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Mysterious	
[4/15/23 12:50AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Mysterious	
[4/15/23 12:50AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Mysterious	
[4/15/23 12:50AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Mysterious	
[4/15/23 12:50AM] Player picked up item: Coin, id: 995, amount: 200, owner: Mysterious	
[4/15/23 12:50AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Mysterious	
[4/15/23 12:51AM] Player picked up item: Coin, id: 995, amount: 200, owner: Mysterious	
[4/15/23 12:51AM] Player picked up item: Blurite Body, id: 19985, amount: 1, owner: Mysterious	
[4/15/23 12:51AM] Player picked up item: Blurite Body, id: 19985, amount: 1, owner: Mysterious	
