[4/20/23 02:29PM] Player picked up item: Coin, id: 995, amount: 100, owner: Legion919	
[4/20/23 02:29PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Legion919	
[4/20/23 02:31PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Legion919	
[4/20/23 02:31PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Legion919	
[4/20/23 02:31PM] Player picked up item: Coin, id: 995, amount: 100, owner: Legion919	
[4/20/23 02:31PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Legion919	
[4/20/23 02:31PM] Player picked up item: Coin, id: 995, amount: 100, owner: Legion919	
[4/20/23 02:31PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Legion919	
[4/20/23 02:32PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Legion919	
[4/20/23 02:32PM] Player picked up item: Coin, id: 995, amount: 100, owner: Legion919	
[4/20/23 02:32PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Legion919	
[4/20/23 02:32PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Legion919	
[4/20/23 02:33PM] Player picked up item: Coin, id: 995, amount: 100, owner: Legion919	
[4/20/23 02:33PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Legion919	
[4/20/23 02:33PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Legion919	
[4/20/23 02:34PM] Player picked up item: Coin, id: 995, amount: 200, owner: Legion919	
[4/20/23 02:34PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Legion919	
[4/20/23 02:34PM] Player picked up item: Coin, id: 995, amount: 200, owner: Legion919	
[4/20/23 02:34PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Legion919	
[4/20/23 02:35PM] Player picked up item: Coin, id: 995, amount: 200, owner: Legion919	
[4/20/23 02:35PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Legion919	
[4/20/23 02:35PM] Player picked up item: Coin, id: 995, amount: 200, owner: Legion919	
[4/20/23 02:35PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Legion919	
[4/20/23 02:35PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Legion919	
[4/20/23 02:35PM] Player picked up item: Coin, id: 995, amount: 200, owner: Legion919	
[4/20/23 02:36PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Legion919	
[4/20/23 02:36PM] Player picked up item: Coin, id: 995, amount: 200, owner: Legion919	
[4/20/23 02:36PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Legion919	
[4/20/23 02:37PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Legion919	
[4/20/23 02:37PM] Player picked up item: Coin, id: 995, amount: 400, owner: Legion919	
[4/20/23 02:37PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Legion919	
[4/20/23 02:37PM] Player picked up item: Coin, id: 995, amount: 400, owner: Legion919	
[4/20/23 02:37PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Legion919	
[4/20/23 02:37PM] Player picked up item: Coin, id: 995, amount: 400, owner: Legion919	
[4/20/23 02:37PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Legion919	
[4/20/23 02:37PM] Player picked up item: Coin, id: 995, amount: 400, owner: Legion919	
[4/20/23 02:37PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Legion919	
[4/20/23 02:37PM] Player picked up item: Coin, id: 995, amount: 400, owner: Legion919	
[4/20/23 02:37PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Legion919	
[4/20/23 02:37PM] Player picked up item: Coin, id: 995, amount: 400, owner: Legion919	
[4/20/23 02:37PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Legion919	
[4/20/23 02:37PM] Player picked up item: Coin, id: 995, amount: 400, owner: Legion919	
[4/20/23 02:37PM] Player picked up item: Blurite Body, id: 19985, amount: 1, owner: Legion919	
[4/20/23 02:37PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Legion919	
[4/20/23 02:37PM] Player picked up item: Coin, id: 995, amount: 400, owner: Legion919	
[4/20/23 02:37PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Legion919	
[4/20/23 02:37PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Legion919	
[4/20/23 02:37PM] Player picked up item: Coin, id: 995, amount: 400, owner: Legion919	
[4/20/23 02:37PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Legion919	
[4/20/23 02:37PM] Player picked up item: Coin, id: 995, amount: 800, owner: Legion919	
[4/20/23 02:38PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Legion919	
[4/20/23 02:39PM] Player picked up item: Coin, id: 995, amount: 1800, owner: Legion919	
[4/20/23 02:40PM] Player picked up item: Blurite Cape, id: 20400, amount: 1, owner: Legion919	
[4/20/23 02:40PM] Player picked up item: Coin, id: 995, amount: 1600, owner: Legion919	
[4/20/23 02:43PM] Player picked up item: Blurite Amulet, id: 19991, amount: 1, owner: Legion919	
[4/20/23 02:43PM] Player picked up item: Blurite Amulet, id: 19991, amount: 1, owner: Legion919	
[4/20/23 02:44PM] Player picked up item: Coin, id: 995, amount: 1000, owner: Legion919	
[4/20/23 02:44PM] Player picked up item: Blurite Gloves, id: 19988, amount: 1, owner: Legion919	
[4/20/23 02:47PM] Player picked up item: Coin, id: 995, amount: 1400, owner: Legion919	
[4/20/23 02:47PM] Player picked up item: Coin, id: 995, amount: 1400, owner: Legion919	
[4/20/23 02:48PM] Player picked up item: Coin, id: 995, amount: 1400, owner: Legion919	
[4/20/23 02:48PM] Player picked up item: Coin, id: 995, amount: 4200, owner: Legion919	
[4/20/23 02:50PM] Player picked up item: Coin, id: 995, amount: 4263542, owner: Legion919	
[4/20/23 02:50PM] Player picked up item: Lava bones, id: 2023, amount: 50, owner: Legion919	
[4/20/23 02:51PM] Player picked up item: Imperial Minigun, id: 18636, amount: 1, owner: Legion919	
[4/20/23 02:53PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Legion919	
[4/20/23 02:53PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Legion919	
[4/20/23 02:58PM] Player picked up item: Coin, id: 995, amount: 1600, owner: Legion919	
[4/20/23 02:58PM] Player picked up item: Coin, id: 995, amount: 1600, owner: Legion919	
[4/20/23 03:01PM] Player picked up item: Imperial Box, id: 14487, amount: 1, owner: Legion919	
[4/20/23 03:02PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Legion919	
[4/20/23 03:06PM] Player picked up item: Zinq helm, id: 23050, amount: 1, owner: Legion919	
[4/20/23 03:06PM] Player picked up item: Coin, id: 995, amount: 4000, owner: Legion919	
[4/20/23 03:06PM] Player picked up item: Coin, id: 995, amount: 12000, owner: Legion919	
[4/21/23 01:27PM] Player picked up item: Coin, id: 995, amount: 1400, owner: Legion919	
[4/21/23 01:31PM] Player picked up item: Lava bones, id: 2023, amount: 7, owner: Legion919	
[4/21/23 01:31PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Legion919	
[4/21/23 01:34PM] Player picked up item: Coin, id: 995, amount: 4288304, owner: Legion919	
[4/21/23 01:34PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Legion919	
[4/21/23 01:35PM] Player picked up item: Coin, id: 995, amount: 6646528, owner: Legion919	
[4/21/23 01:35PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Legion919	
[4/22/23 11:59AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Legion919	
[4/22/23 11:59AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Legion919	
