[4/16/23 11:34PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Tazm94	
[4/16/23 11:34PM] Player picked up item: Coin, id: 995, amount: 100, owner: Tazm94	
[4/16/23 11:35PM] Player picked up item: Coin, id: 995, amount: 100, owner: Tazm94	
[4/16/23 11:35PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Tazm94	
[4/16/23 11:36PM] Player picked up item: Coin, id: 995, amount: 100, owner: Tazm94	
[4/16/23 11:36PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Tazm94	
[4/16/23 11:37PM] Player picked up item: Coin, id: 995, amount: 100, owner: Tazm94	
[4/16/23 11:37PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Tazm94	
[4/16/23 11:39PM] Player picked up item: Coin, id: 995, amount: 100, owner: Tazm94	
[4/16/23 11:39PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Tazm94	
[4/16/23 11:39PM] Player picked up item: Coin, id: 995, amount: 100, owner: Tazm94	
[4/16/23 11:39PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Tazm94	
[4/16/23 11:39PM] Player picked up item: Coin, id: 995, amount: 100, owner: Tazm94	
[4/16/23 11:39PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Tazm94	
[4/16/23 11:39PM] Player picked up item: Coin, id: 995, amount: 100, owner: Tazm94	
[4/16/23 11:39PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Tazm94	
[4/16/23 11:39PM] Player picked up item: Coin, id: 995, amount: 100, owner: Tazm94	
[4/16/23 11:39PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Tazm94	
[4/16/23 11:40PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Tazm94	
[4/16/23 11:40PM] Player picked up item: Coin, id: 995, amount: 200, owner: Tazm94	
[4/16/23 11:40PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Tazm94	
[4/16/23 11:40PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Tazm94	
[4/16/23 11:41PM] Player picked up item: Coin, id: 995, amount: 200, owner: Tazm94	
[4/16/23 11:41PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Tazm94	
[4/16/23 11:41PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Tazm94	
[4/16/23 11:41PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Tazm94	
[4/16/23 11:41PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Tazm94	
[4/16/23 11:41PM] Player picked up item: Coin, id: 995, amount: 200, owner: Tazm94	
[4/16/23 11:41PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Tazm94	
[4/16/23 11:41PM] Player picked up item: Coin, id: 995, amount: 200, owner: Tazm94	
