[4/19/23 11:43AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Zeven	
[4/19/23 11:43AM] Player picked up item: Vote scroll, id: 23020, amount: 6, owner: Zeven	
[4/19/23 11:44AM] Player picked up item: Coin, id: 995, amount: 2182851, owner: Zeven	
[4/19/23 11:44AM] Player picked up item: Lava bones, id: 2023, amount: 50, owner: Zeven	
[4/19/23 11:45AM] Player picked up item: Coin, id: 995, amount: 2134026, owner: Zeven	
[4/19/23 11:45AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Zeven	
[4/19/23 11:46AM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Zeven	
[4/19/23 11:46AM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Zeven	
[4/19/23 11:47AM] Player picked up item: Owner cape goodiebag, id: 3578, amount: 1, owner: Zeven	
[4/19/23 11:47AM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Zeven	
[4/19/23 11:47AM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Zeven	
[4/19/23 11:49AM] Player picked up item: Coin, id: 995, amount: 100, owner: Zeven	
[4/19/23 11:49AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Zeven	
[4/19/23 11:51AM] Player picked up item: Coin, id: 995, amount: 200, owner: Zeven	
[4/19/23 11:51AM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Zeven	
[4/19/23 11:51AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Zeven	
[4/19/23 11:51AM] Player picked up item: Coin, id: 995, amount: 100, owner: Zeven	
[4/19/23 11:53AM] Player picked up item: Blurite Helm, id: 19984, amount: 1, owner: Zeven	
[4/19/23 11:53AM] Player picked up item: Blurite Helm, id: 19984, amount: 1, owner: Zeven	
[4/19/23 11:55AM] Player picked up item: Coin, id: 995, amount: 400, owner: Zeven	
[4/19/23 11:55AM] Player picked up item: Blurite Boots, id: 19989, amount: 1, owner: Zeven	
[4/19/23 11:55AM] Player picked up item: Blurite Boots, id: 19989, amount: 1, owner: Zeven	
[4/19/23 11:58AM] Player picked up item: Blurite Ring, id: 19992, amount: 1, owner: Zeven	
[4/19/23 11:59AM] Player picked up item: Blurite Body, id: 19985, amount: 1, owner: Zeven	
[4/19/23 12:00PM] Player picked up item: Blurite Amulet, id: 19991, amount: 1, owner: Zeven	
[4/19/23 12:00PM] Player picked up item: Blurite Amulet, id: 19991, amount: 1, owner: Zeven	
[4/19/23 12:02PM] Player picked up item: Blurite Cape, id: 20400, amount: 1, owner: Zeven	
[4/19/23 12:02PM] Player picked up item: Blurite Cape, id: 20400, amount: 1, owner: Zeven	
[4/19/23 12:03PM] Player picked up item: Blurite Body, id: 19985, amount: 1, owner: Zeven	
[4/19/23 12:03PM] Player picked up item: Blurite Body, id: 19985, amount: 1, owner: Zeven	
[4/19/23 12:05PM] Player picked up item: Blurite Amulet, id: 19991, amount: 1, owner: Zeven	
[4/19/23 12:07PM] Player picked up item: Blurite Bow, id: 22175, amount: 1, owner: Zeven	
[4/19/23 12:07PM] Player picked up item: Blurite Staff, id: 22174, amount: 1, owner: Zeven	
[4/19/23 12:15PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Zeven	
[4/19/23 12:15PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Zeven	
[4/19/23 12:16PM] Player picked up item: Vote scroll, id: 23020, amount: 6, owner: Zeven	
[4/19/23 12:17PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Zeven	
[4/19/23 12:18PM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Zeven	
[4/19/23 12:18PM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Zeven	
[4/19/23 12:19PM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Zeven	
[4/19/23 12:26PM] Player picked up item: Imperial legs, id: 20088, amount: 1, owner: Zeven	
[4/19/23 12:26PM] Player picked up item: Imperial legs, id: 20088, amount: 1, owner: Zeven	
[4/19/23 12:29PM] Player picked up item: Imperial gloves, id: 20091, amount: 1, owner: Zeven	
[4/19/23 12:29PM] Player picked up item: Imperial gloves, id: 20091, amount: 1, owner: Zeven	
[4/19/23 12:29PM] Player picked up item: Coin, id: 995, amount: 700, owner: Zeven	
[4/19/23 12:39PM] Player picked up item: Imperial body, id: 20087, amount: 1, owner: Zeven	
[4/19/23 12:40PM] Player picked up item: Coin, id: 995, amount: 1400, owner: Zeven	
[4/19/23 12:59PM] Player picked up item: Imperial Staff, id: 18629, amount: 1, owner: Zeven	
[4/19/23 01:42PM] Player picked up item: Coin, id: 995, amount: 1000, owner: Rayquaza	
