[4/15/23 03:14AM] Player picked up item: Coin, id: 995, amount: 100, owner: Sickna	
[4/15/23 03:14AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Sickna	
[4/15/23 03:15AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Sickna	
[4/15/23 03:15AM] Player picked up item: Coin, id: 995, amount: 100, owner: Sickna	
[4/15/23 03:15AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Sickna	
[4/15/23 03:16AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Sickna	
[4/15/23 03:18AM] Player picked up item: Coin, id: 995, amount: 100, owner: Sickna	
[4/15/23 03:18AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Sickna	
[4/15/23 03:18AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Sickna	
[4/15/23 03:19AM] Player picked up item: Coin, id: 995, amount: 100, owner: Sickna	
[4/15/23 03:19AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Sickna	
[4/15/23 03:19AM] Player picked up item: Coin, id: 995, amount: 100, owner: Sickna	
[4/15/23 03:19AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Sickna	
[4/15/23 03:20AM] Player picked up item: Coin, id: 995, amount: 100, owner: Sickna	
[4/15/23 03:20AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Sickna	
