[4/17/23 05:41PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Peez	
[4/17/23 05:42PM] Player picked up item: Coin, id: 995, amount: 100, owner: Peez	
[4/17/23 05:42PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Peez	
[4/17/23 05:43PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Peez	
[4/17/23 05:44PM] Player picked up item: Coin, id: 995, amount: 100, owner: Peez	
[4/17/23 05:44PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Peez	
[4/17/23 05:45PM] Player picked up item: Coin, id: 995, amount: 100, owner: Peez	
[4/17/23 05:45PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Peez	
[4/17/23 05:46PM] Player picked up item: Coin, id: 995, amount: 100, owner: Peez	
[4/17/23 05:46PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Peez	
[4/17/23 05:46PM] Player picked up item: Coin, id: 995, amount: 100, owner: Peez	
[4/17/23 05:46PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Peez	
[4/17/23 05:48PM] Player picked up item: Coin, id: 995, amount: 100, owner: Peez	
[4/17/23 05:48PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Peez	
[4/17/23 05:49PM] Player picked up item: Coin, id: 995, amount: 100, owner: Peez	
[4/17/23 05:49PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Peez	
[4/17/23 05:50PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Peez	
[4/17/23 05:53PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Peez	
[4/17/23 05:54PM] Player picked up item: Coin, id: 995, amount: 200, owner: Peez	
[4/17/23 05:54PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Peez	
[4/17/23 05:55PM] Player picked up item: Coin, id: 995, amount: 200, owner: Peez	
[4/17/23 05:55PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Peez	
[4/17/23 05:56PM] Player picked up item: Coin, id: 995, amount: 200, owner: Peez	
[4/17/23 05:56PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Peez	
[4/17/23 05:56PM] Player picked up item: Coin, id: 995, amount: 200, owner: Peez	
[4/17/23 05:56PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Peez	
[4/17/23 05:57PM] Player picked up item: Coin, id: 995, amount: 200, owner: Peez	
[4/17/23 05:57PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Peez	
[4/17/23 05:57PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Peez	
[4/17/23 05:58PM] Player picked up item: Coin, id: 995, amount: 200, owner: Peez	
[4/17/23 05:58PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Peez	
[4/17/23 05:58PM] Player picked up item: Coin, id: 995, amount: 200, owner: Peez	
[4/17/23 05:58PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Peez	
[4/17/23 05:59PM] Player picked up item: Coin, id: 995, amount: 200, owner: Peez	
