[4/15/23 03:39PM] Player picked up item: Coin, id: 995, amount: 100, owner: W E T	
[4/15/23 03:39PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: W E T	
[4/15/23 03:39PM] Player picked up item: Coin, id: 995, amount: 100, owner: W E T	
[4/15/23 03:39PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: W E T	
[4/15/23 03:39PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: W E T	
[4/15/23 03:39PM] Player picked up item: Coin, id: 995, amount: 100, owner: W E T	
[4/15/23 03:39PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: W E T	
[4/15/23 03:39PM] Player picked up item: Coin, id: 995, amount: 100, owner: W E T	
[4/15/23 03:39PM] Player picked up item: Coin, id: 995, amount: 100, owner: W E T	
[4/15/23 03:39PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: W E T	
[4/15/23 03:39PM] Player picked up item: Coin, id: 995, amount: 200, owner: W E T	
[4/15/23 03:39PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: W E T	
[4/15/23 03:39PM] Player picked up item: Coin, id: 995, amount: 100, owner: W E T	
[4/15/23 03:39PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: W E T	
[4/15/23 03:39PM] Player picked up item: Coin, id: 995, amount: 100, owner: W E T	
[4/15/23 03:39PM] Player picked up item: Coin, id: 995, amount: 100, owner: W E T	
[4/15/23 03:39PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: W E T	
[4/15/23 03:39PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: W E T	
[4/15/23 03:39PM] Player picked up item: Coin, id: 995, amount: 100, owner: W E T	
[4/15/23 03:39PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: W E T	
[4/15/23 03:39PM] Player picked up item: Coin, id: 995, amount: 100, owner: W E T	
[4/15/23 03:39PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: W E T	
[4/15/23 03:44PM] Player picked up item: Coin, id: 995, amount: 300, owner: W E T	
