[4/19/23 08:24PM] Player picked up item: Coin, id: 995, amount: 100, owner: Tomzi	
[4/19/23 08:24PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Tomzi	
[4/19/23 08:25PM] Player picked up item: Coin, id: 995, amount: 100, owner: Tomzi	
[4/19/23 08:25PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Tomzi	
[4/19/23 08:25PM] Player picked up item: Coin, id: 995, amount: 100, owner: Tomzi	
[4/19/23 08:25PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Tomzi	
[4/19/23 08:25PM] Player picked up item: Coin, id: 995, amount: 100, owner: Tomzi	
[4/19/23 08:25PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Tomzi	
[4/19/23 08:26PM] Player picked up item: Coin, id: 995, amount: 100, owner: Tomzi	
[4/19/23 08:26PM] Player picked up item: Coin, id: 995, amount: 100, owner: Tomzi	
[4/19/23 08:26PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Tomzi	
[4/19/23 08:26PM] Player picked up item: Coin, id: 995, amount: 100, owner: Tomzi	
[4/19/23 08:26PM] Player picked up item: Coin, id: 995, amount: 100, owner: Tomzi	
[4/19/23 08:26PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Tomzi	
[4/19/23 08:26PM] Player picked up item: Coin, id: 995, amount: 100, owner: Tomzi	
[4/19/23 08:26PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Tomzi	
[4/19/23 08:26PM] Player picked up item: Coin, id: 995, amount: 100, owner: Tomzi	
[4/19/23 08:26PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Tomzi	
[4/19/23 08:27PM] Player picked up item: Coin, id: 995, amount: 400, owner: Tomzi	
[4/19/23 08:27PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Tomzi	
[4/19/23 08:27PM] Player picked up item: Coin, id: 995, amount: 200, owner: Tomzi	
[4/19/23 08:27PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Tomzi	
[4/19/23 08:28PM] Player picked up item: Coin, id: 995, amount: 200, owner: Tomzi	
[4/19/23 08:28PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Tomzi	
[4/19/23 08:28PM] Player picked up item: Coin, id: 995, amount: 600, owner: Tomzi	
[4/19/23 08:28PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Tomzi	
[4/19/23 08:28PM] Player picked up item: Coin, id: 995, amount: 600, owner: Tomzi	
[4/19/23 08:28PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Tomzi	
[4/19/23 08:29PM] Player picked up item: Coin, id: 995, amount: 800, owner: Tomzi	
[4/19/23 08:29PM] Player picked up item: Lava bones, id: 2023, amount: 4, owner: Tomzi	
[4/19/23 08:29PM] Player picked up item: Coin, id: 995, amount: 600, owner: Tomzi	
[4/19/23 08:29PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Tomzi	
[4/19/23 08:29PM] Player picked up item: Coin, id: 995, amount: 600, owner: Tomzi	
[4/19/23 08:29PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Tomzi	
[4/19/23 08:46PM] Player picked up item: Coin, id: 995, amount: 1999992, owner: Tomzi	
[4/19/23 08:46PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Tomzi	
[4/19/23 08:56PM] Player picked up item: Blurite Body, id: 19985, amount: 1, owner: Tomzi	
[4/19/23 09:21PM] Player picked up item: Coin, id: 995, amount: 1404032, owner: Tomzi	
[4/19/23 09:21PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Tomzi	
[4/19/23 09:22PM] Player picked up item: Coin, id: 995, amount: 4118716, owner: Tomzi	
[4/19/23 09:22PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Tomzi	
[4/19/23 09:23PM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Tomzi	
[4/19/23 09:23PM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Tomzi	
[4/19/23 09:25PM] Player picked up item: Owner Jewellery Goodiebag, id: 13019, amount: 1, owner: Tomzi	
[4/19/23 09:25PM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Tomzi	
[4/19/23 09:25PM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Tomzi	
[4/19/23 10:21PM] Player picked up item: Coin, id: 995, amount: 2279409, owner: Tomzi	
[4/19/23 10:22PM] Player picked up item: Coin, id: 995, amount: 3040116, owner: Tomzi	
[4/19/23 10:30PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Tomzi	
[4/20/23 03:51PM] Player picked up item: Lava bones, id: 2023, amount: 50, owner: Tomzi	
[4/20/23 03:55PM] Player picked up item: Coin, id: 995, amount: 8000, owner: Tomzi	
[4/24/23 10:49PM] Player picked up item: Antique Sword, id: 23146, amount: 1, owner: Tomzi	
