[4/18/23 12:11PM] Player picked up item: Coin, id: 995, amount: 1729901, owner: 4syns	
[4/18/23 12:11PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: 4syns	
[4/18/23 12:42PM] Player picked up item: Coin, id: 995, amount: 1573913, owner: 4syns	
[4/18/23 12:42PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: 4syns	
[4/18/23 01:12PM] Player picked up item: Coin, id: 995, amount: 1644343, owner: 4syns	
[4/18/23 01:12PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: 4syns	
[4/18/23 01:30PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: 4syns	
[4/18/23 01:30PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: 4syns	
[4/18/23 01:42PM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: 4syns	
[4/18/23 01:42PM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: 4syns	
[4/19/23 07:24AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: 4syns	
[4/19/23 07:24AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: 4syns	
[4/19/23 07:25AM] Player picked up item: Coin, id: 995, amount: 1140482, owner: 4syns	
[4/19/23 07:25AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: 4syns	
[4/19/23 07:27AM] Player picked up item: Coin, id: 995, amount: 2588605, owner: 4syns	
[4/19/23 07:27AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: 4syns	
[4/19/23 07:48AM] Player picked up item: Coin, id: 995, amount: 1430480, owner: 4syns	
[4/19/23 07:48AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: 4syns	
[4/19/23 08:18AM] Player picked up item: Coin, id: 995, amount: 1589509, owner: 4syns	
[4/19/23 08:18AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: 4syns	
[4/19/23 08:48AM] Player picked up item: Coin, id: 995, amount: 2098856, owner: 4syns	
[4/19/23 08:48AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: 4syns	
[4/19/23 08:49AM] Player picked up item: Coin, id: 995, amount: 2550240, owner: 4syns	
[4/19/23 08:49AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: 4syns	
[4/19/23 10:45AM] Player picked up item: Coin, id: 995, amount: 2364354, owner: 4syns	
[4/19/23 10:45AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: 4syns	
[4/19/23 11:15AM] Player picked up item: Coin, id: 995, amount: 1766531, owner: 4syns	
[4/19/23 11:15AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: 4syns	
[4/19/23 11:16AM] Player picked up item: Coin, id: 995, amount: 3914689, owner: 4syns	
[4/19/23 11:16AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: 4syns	
[4/19/23 11:17AM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: 4syns	
[4/19/23 11:17AM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: 4syns	
[4/19/23 11:21AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: 4syns	
[4/19/23 11:21AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: 4syns	
[4/19/23 11:43AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: 4syns	
