[4/20/23 04:39PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Draculaura	
[4/20/23 04:39PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Draculaura	
[4/20/23 04:39PM] Player picked up item: Coin, id: 995, amount: 100, owner: Draculaura	
[4/20/23 04:40PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Draculaura	
[4/20/23 04:40PM] Player picked up item: Coin, id: 995, amount: 100, owner: Draculaura	
[4/20/23 04:40PM] Player picked up item: Coin, id: 995, amount: 100, owner: Draculaura	
[4/20/23 04:40PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Draculaura	
[4/20/23 04:40PM] Player picked up item: Coin, id: 995, amount: 100, owner: Draculaura	
[4/20/23 04:40PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Draculaura	
[4/20/23 04:40PM] Player picked up item: Coin, id: 995, amount: 100, owner: Draculaura	
[4/20/23 04:40PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Draculaura	
[4/20/23 04:40PM] Player picked up item: Coin, id: 995, amount: 100, owner: Draculaura	
[4/20/23 04:40PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Draculaura	
[4/20/23 04:41PM] Player picked up item: Coin, id: 995, amount: 100, owner: Draculaura	
[4/20/23 04:41PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Draculaura	
[4/20/23 04:41PM] Player picked up item: Coin, id: 995, amount: 100, owner: Draculaura	
[4/20/23 04:41PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Draculaura	
[4/20/23 04:41PM] Player picked up item: Coin, id: 995, amount: 100, owner: Draculaura	
[4/20/23 04:41PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Draculaura	
[4/20/23 04:41PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Draculaura	
[4/20/23 04:41PM] Player picked up item: Coin, id: 995, amount: 200, owner: Draculaura	
[4/20/23 04:42PM] Player picked up item: Coin, id: 995, amount: 200, owner: Draculaura	
[4/20/23 04:42PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Draculaura	
[4/20/23 04:42PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Draculaura	
[4/20/23 04:42PM] Player picked up item: Coin, id: 995, amount: 200, owner: Draculaura	
[4/20/23 04:42PM] Player picked up item: Coin, id: 995, amount: 200, owner: Draculaura	
[4/20/23 04:42PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Draculaura	
[4/20/23 04:42PM] Player picked up item: Coin, id: 995, amount: 200, owner: Draculaura	
[4/20/23 04:42PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Draculaura	
[4/20/23 04:42PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Draculaura	
[4/20/23 04:42PM] Player picked up item: Coin, id: 995, amount: 400, owner: Draculaura	
[4/20/23 04:43PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Draculaura	
[4/20/23 04:43PM] Player picked up item: Coin, id: 995, amount: 200, owner: Draculaura	
[4/20/23 04:43PM] Player picked up item: Coin, id: 995, amount: 200, owner: Draculaura	
[4/20/23 04:43PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Draculaura	
[4/20/23 04:43PM] Player picked up item: DMG Potion (Mortal), id: 3090, amount: 1, owner: Draculaura	
[4/20/23 04:43PM] Player picked up item: DR Potion (Godly), id: 3086, amount: 1, owner: Draculaura	
[4/20/23 04:43PM] Player picked up item: EXP Potion (Divine), id: 1033, amount: 1, owner: Draculaura	
[4/20/23 04:43PM] Player picked up item: PvM Casket, id: 2736, amount: 5, owner: Draculaura	
[4/20/23 04:43PM] Player picked up item: Imperial Box, id: 14487, amount: 2, owner: Draculaura	
[4/20/23 04:43PM] Player picked up item: Progressive Box [T1], id: 10025, amount: 1, owner: Draculaura	
[4/20/23 04:44PM] Player picked up item: Coin, id: 995, amount: 200, owner: Draculaura	
[4/20/23 04:44PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Draculaura	
[4/20/23 04:44PM] Player picked up item: Coin, id: 995, amount: 200, owner: Draculaura	
[4/20/23 04:44PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Draculaura	
[4/20/23 04:45PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Draculaura	
[4/20/23 04:45PM] Player picked up item: Coin, id: 995, amount: 200, owner: Draculaura	
[4/20/23 04:45PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Draculaura	
[4/20/23 04:45PM] Player picked up item: Coin, id: 995, amount: 200, owner: Draculaura	
[4/20/23 04:45PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Draculaura	
[4/20/23 04:45PM] Player picked up item: Coin, id: 995, amount: 200, owner: Draculaura	
[4/20/23 04:45PM] Player picked up item: Blurite Cape, id: 20400, amount: 1, owner: Draculaura	
[4/20/23 04:45PM] Player picked up item: Coin, id: 995, amount: 200, owner: Draculaura	
[4/20/23 04:45PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Draculaura	
[4/20/23 04:45PM] Player picked up item: Coin, id: 995, amount: 200, owner: Draculaura	
[4/20/23 04:45PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Draculaura	
[4/20/23 04:46PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Draculaura	
[4/20/23 04:46PM] Player picked up item: Coin, id: 995, amount: 200, owner: Draculaura	
[4/20/23 04:46PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Draculaura	
[4/20/23 04:46PM] Player picked up item: Coin, id: 995, amount: 400, owner: Draculaura	
[4/20/23 04:48PM] Player picked up item: Coin, id: 995, amount: 300, owner: Draculaura	
[4/20/23 04:48PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Draculaura	
[4/20/23 04:48PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Draculaura	
[4/20/23 04:48PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Draculaura	
[4/20/23 04:48PM] Player picked up item: Coin, id: 995, amount: 300, owner: Draculaura	
[4/20/23 04:48PM] Player picked up item: Coin, id: 995, amount: 300, owner: Draculaura	
[4/20/23 04:48PM] Player picked up item: Coin, id: 995, amount: 300, owner: Draculaura	
[4/20/23 04:48PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Draculaura	
[4/20/23 04:48PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Draculaura	
[4/20/23 04:48PM] Player picked up item: Coin, id: 995, amount: 300, owner: Draculaura	
[4/20/23 04:48PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Draculaura	
[4/20/23 04:48PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Draculaura	
[4/20/23 04:48PM] Player picked up item: Coin, id: 995, amount: 300, owner: Draculaura	
[4/20/23 04:48PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Draculaura	
[4/20/23 04:48PM] Player picked up item: Coin, id: 995, amount: 300, owner: Draculaura	
[4/20/23 04:48PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Draculaura	
[4/20/23 04:48PM] Player picked up item: Coin, id: 995, amount: 300, owner: Draculaura	
[4/20/23 04:48PM] Player picked up item: Lava bones, id: 2023, amount: 5, owner: Draculaura	
[4/20/23 04:48PM] Player picked up item: Coin, id: 995, amount: 300, owner: Draculaura	
[4/20/23 04:48PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Draculaura	
[4/20/23 04:48PM] Player picked up item: Coin, id: 995, amount: 600, owner: Draculaura	
[4/20/23 04:48PM] Player picked up item: Coin, id: 995, amount: 300, owner: Draculaura	
[4/20/23 04:48PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Draculaura	
[4/20/23 04:48PM] Player picked up item: Coin, id: 995, amount: 300, owner: Draculaura	
[4/20/23 04:48PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Draculaura	
[4/20/23 04:53PM] Player picked up item: Blurite Body, id: 19985, amount: 1, owner: Draculaura	
[4/20/23 04:54PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Draculaura	
[4/20/23 04:54PM] Player picked up item: Blurite Body, id: 19985, amount: 1, owner: Draculaura	
[4/20/23 04:55PM] Player picked up item: Coin, id: 995, amount: 1000, owner: Draculaura	
[4/20/23 04:55PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Draculaura	
[4/20/23 04:55PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Draculaura	
[4/20/23 04:55PM] Player picked up item: Coin, id: 995, amount: 500, owner: Draculaura	
[4/20/23 04:55PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Draculaura	
[4/20/23 04:55PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Draculaura	
[4/20/23 04:55PM] Player picked up item: Coin, id: 995, amount: 500, owner: Draculaura	
[4/20/23 04:55PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Draculaura	
[4/20/23 04:55PM] Player picked up item: Coin, id: 995, amount: 500, owner: Draculaura	
[4/20/23 04:56PM] Player picked up item: Coin, id: 995, amount: 1000, owner: Draculaura	
[4/20/23 04:56PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Draculaura	
[4/20/23 04:56PM] Player picked up item: Coin, id: 995, amount: 1000, owner: Draculaura	
[4/20/23 04:56PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Draculaura	
[4/20/23 04:56PM] Player picked up item: Coin, id: 995, amount: 500, owner: Draculaura	
[4/20/23 04:56PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Draculaura	
[4/20/23 04:56PM] Player picked up item: Coin, id: 995, amount: 500, owner: Draculaura	
[4/20/23 04:56PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Draculaura	
[4/20/23 04:56PM] Player picked up item: Coin, id: 995, amount: 500, owner: Draculaura	
[4/20/23 04:56PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Draculaura	
[4/20/23 04:57PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Draculaura	
[4/20/23 04:57PM] Player picked up item: Coin, id: 995, amount: 500, owner: Draculaura	
