[4/22/23 12:58PM] Player picked up item: Coin, id: 995, amount: 100, owner: Rsps Adi	
[4/22/23 12:58PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Rsps Adi	
[4/22/23 12:58PM] Player picked up item: Coin, id: 995, amount: 100, owner: Rsps Adi	
[4/22/23 12:58PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Rsps Adi	
[4/22/23 12:59PM] Player picked up item: Coin, id: 995, amount: 100, owner: Rsps Adi	
[4/22/23 12:59PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Rsps Adi	
[4/22/23 12:59PM] Player picked up item: Coin, id: 995, amount: 100, owner: Rsps Adi	
[4/22/23 12:59PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Rsps Adi	
[4/22/23 12:59PM] Player picked up item: Coin, id: 995, amount: 100, owner: Brex	
[4/22/23 12:59PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Brex	
[4/22/23 12:59PM] Player picked up item: Coin, id: 995, amount: 100, owner: Brex	
[4/22/23 12:59PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Brex	
[4/22/23 12:59PM] Player picked up item: Coin, id: 995, amount: 100, owner: Rsps Adi	
[4/22/23 12:59PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Rsps Adi	
[4/22/23 12:59PM] Player picked up item: Coin, id: 995, amount: 100, owner: Rsps Adi	
[4/22/23 12:59PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Rsps Adi	
[4/22/23 12:59PM] Player picked up item: Coin, id: 995, amount: 100, owner: Rsps Adi	
[4/22/23 12:59PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Rsps Adi	
[4/22/23 01:00PM] Player picked up item: Coin, id: 995, amount: 100, owner: Rsps Adi	
[4/22/23 01:00PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Rsps Adi	
[4/22/23 01:00PM] Player picked up item: Coin, id: 995, amount: 100, owner: Rsps Adi	
[4/22/23 01:00PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Rsps Adi	
[4/22/23 01:00PM] Player picked up item: Coin, id: 995, amount: 100, owner: Rsps Adi	
[4/22/23 01:00PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Rsps Adi	
[4/22/23 01:00PM] Player picked up item: Coin, id: 995, amount: 200, owner: Rsps Adi	
[4/22/23 01:00PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Rsps Adi	
[4/22/23 01:00PM] Player picked up item: Blurite Legs, id: 19986, amount: 1, owner: Rsps Adi	
[4/22/23 01:01PM] Player picked up item: Coin, id: 995, amount: 200, owner: Rsps Adi	
[4/22/23 01:01PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Rsps Adi	
[4/22/23 01:01PM] Player picked up item: Coin, id: 995, amount: 200, owner: Rsps Adi	
[4/22/23 01:01PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Rsps Adi	
[4/22/23 01:01PM] Player picked up item: Coin, id: 995, amount: 200, owner: Rsps Adi	
[4/22/23 01:01PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Rsps Adi	
[4/22/23 01:01PM] Player picked up item: Coin, id: 995, amount: 200, owner: Rsps Adi	
[4/22/23 01:01PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Rsps Adi	
[4/22/23 01:02PM] Player picked up item: Coin, id: 995, amount: 200, owner: Rsps Adi	
[4/22/23 01:02PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Rsps Adi	
[4/22/23 01:02PM] Player picked up item: Coin, id: 995, amount: 200, owner: Rsps Adi	
[4/22/23 01:02PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Rsps Adi	
[4/22/23 01:02PM] Player picked up item: Coin, id: 995, amount: 200, owner: Rsps Adi	
