[4/20/23 03:07AM] Player picked up item: Coin, id: 995, amount: 100, owner: Odin	
[4/20/23 03:07AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Odin	
[4/20/23 03:08AM] Player picked up item: Coin, id: 995, amount: 100, owner: Odin	
[4/20/23 03:08AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Odin	
[4/20/23 03:08AM] Player picked up item: Coin, id: 995, amount: 100, owner: Odin	
[4/20/23 03:08AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Odin	
[4/20/23 03:08AM] Player picked up item: Coin, id: 995, amount: 100, owner: Odin	
[4/20/23 03:08AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Odin	
[4/20/23 03:08AM] Player picked up item: Coin, id: 995, amount: 100, owner: Odin	
[4/20/23 03:08AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Odin	
[4/20/23 03:09AM] Player picked up item: Coin, id: 995, amount: 100, owner: Odin	
[4/20/23 03:09AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Odin	
[4/20/23 03:09AM] Player picked up item: Coin, id: 995, amount: 100, owner: Odin	
[4/20/23 03:09AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Odin	
[4/20/23 03:20AM] Player picked up item: Coin, id: 995, amount: 100, owner: Odin	
[4/20/23 03:20AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Odin	
[4/20/23 03:20AM] Player picked up item: Coin, id: 995, amount: 100, owner: Odin	
[4/20/23 03:20AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Odin	
[4/20/23 03:21AM] Player picked up item: Coin, id: 995, amount: 200, owner: Odin	
[4/20/23 03:21AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Odin	
[4/20/23 03:21AM] Player picked up item: Coin, id: 995, amount: 200, owner: Odin	
[4/20/23 03:21AM] Player picked up item: Coin, id: 995, amount: 200, owner: Odin	
[4/20/23 03:21AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Odin	
[4/20/23 03:21AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Odin	
[4/20/23 03:21AM] Player picked up item: Coin, id: 995, amount: 200, owner: Odin	
