[4/23/23 12:40AM] Player picked up item: Coin, id: 995, amount: 100, owner: Alcoholic	
[4/23/23 12:40AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Alcoholic	
[4/23/23 12:40AM] Player picked up item: Coin, id: 995, amount: 100, owner: Alcoholic	
[4/23/23 12:40AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Alcoholic	
[4/23/23 12:40AM] Player picked up item: Coin, id: 995, amount: 100, owner: Alcoholic	
[4/23/23 12:40AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Alcoholic	
[4/23/23 12:41AM] Player picked up item: Coin, id: 995, amount: 100, owner: Alcoholic	
[4/23/23 12:41AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Alcoholic	
[4/23/23 12:41AM] Player picked up item: Blurite Boots, id: 19989, amount: 1, owner: Alcoholic	
[4/23/23 12:41AM] Player picked up item: Coin, id: 995, amount: 100, owner: Alcoholic	
[4/23/23 12:41AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Alcoholic	
[4/23/23 12:41AM] Player picked up item: Coin, id: 995, amount: 100, owner: Alcoholic	
[4/23/23 12:41AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Alcoholic	
[4/23/23 12:41AM] Player picked up item: Coin, id: 995, amount: 100, owner: Alcoholic	
[4/23/23 12:41AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Alcoholic	
[4/23/23 12:41AM] Player picked up item: Coin, id: 995, amount: 100, owner: Alcoholic	
[4/23/23 12:41AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Alcoholic	
[4/23/23 12:42AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Alcoholic	
[4/23/23 12:42AM] Player picked up item: Coin, id: 995, amount: 200, owner: Alcoholic	
[4/23/23 12:42AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Alcoholic	
[4/23/23 12:42AM] Player picked up item: Coin, id: 995, amount: 100, owner: Alcoholic	
[4/23/23 12:42AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Alcoholic	
[4/23/23 12:42AM] Player picked up item: Coin, id: 995, amount: 200, owner: Alcoholic	
[4/23/23 12:42AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Alcoholic	
[4/23/23 12:43AM] Player picked up item: Coin, id: 995, amount: 200, owner: Alcoholic	
