[4/16/23 06:12AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Starkiller90	
[4/16/23 06:12AM] Player picked up item: Coin, id: 995, amount: 100, owner: Starkiller90	
[4/16/23 06:12AM] Player picked up item: Coin, id: 995, amount: 100, owner: Starkiller90	
[4/16/23 06:12AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Starkiller90	
[4/16/23 06:19AM] Player picked up item: Coin, id: 995, amount: 100, owner: Starkiller90	
[4/16/23 06:19AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Starkiller90	
[4/16/23 06:20AM] Player picked up item: Coin, id: 995, amount: 100, owner: Starkiller90	
[4/16/23 06:20AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Starkiller90	
[4/16/23 06:20AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Starkiller90	
[4/16/23 06:20AM] Player picked up item: Coin, id: 995, amount: 100, owner: Starkiller90	
[4/16/23 06:20AM] Player picked up item: Coin, id: 995, amount: 100, owner: Starkiller90	
[4/16/23 06:20AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Starkiller90	
[4/16/23 06:20AM] Player picked up item: Coin, id: 995, amount: 100, owner: Starkiller90	
[4/16/23 06:20AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Starkiller90	
[4/16/23 06:20AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Starkiller90	
[4/16/23 06:20AM] Player picked up item: Coin, id: 995, amount: 200, owner: Starkiller90	
[4/16/23 06:28AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Starkiller90	
[4/16/23 06:28AM] Player picked up item: Coin, id: 995, amount: 2026029, owner: Starkiller90	
[4/16/23 06:30AM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Starkiller90	
[4/16/23 06:30AM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Starkiller90	
[4/16/23 06:37AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Starkiller90	
[4/16/23 06:37AM] Player picked up item: Coin, id: 995, amount: 200, owner: Starkiller90	
[4/16/23 06:37AM] Player picked up item: Coin, id: 995, amount: 200, owner: Starkiller90	
[4/16/23 06:37AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Starkiller90	
[4/16/23 06:37AM] Player picked up item: Coin, id: 995, amount: 200, owner: Starkiller90	
[4/16/23 06:37AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Starkiller90	
[4/16/23 06:38AM] Player picked up item: Coin, id: 995, amount: 200, owner: Starkiller90	
[4/16/23 06:38AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Starkiller90	
[4/16/23 06:38AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Starkiller90	
[4/16/23 06:38AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Starkiller90	
[4/16/23 06:38AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Starkiller90	
[4/16/23 06:38AM] Player picked up item: Coin, id: 995, amount: 200, owner: Starkiller90	
[4/16/23 06:39AM] Player picked up item: Coin, id: 995, amount: 200, owner: Starkiller90	
[4/16/23 06:39AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Starkiller90	
[4/16/23 06:39AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Starkiller90	
[4/16/23 06:39AM] Player picked up item: Coin, id: 995, amount: 200, owner: Starkiller90	
[4/16/23 06:39AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Starkiller90	
[4/16/23 06:39AM] Player picked up item: Coin, id: 995, amount: 200, owner: Starkiller90	
[4/16/23 06:39AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Starkiller90	
[4/16/23 06:39AM] Player picked up item: Coin, id: 995, amount: 200, owner: Starkiller90	
[4/16/23 06:39AM] Player picked up item: Coin, id: 995, amount: 200, owner: Starkiller90	
[4/16/23 06:39AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Starkiller90	
[4/16/23 06:40AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Starkiller90	
