[4/20/23 01:15AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Corgi	
[4/20/23 01:15AM] Player picked up item: Coin, id: 995, amount: 100, owner: Corgi	
[4/20/23 01:15AM] Player picked up item: Coin, id: 995, amount: 100, owner: Corgi	
[4/20/23 01:15AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Corgi	
[4/20/23 01:16AM] Player picked up item: Coin, id: 995, amount: 100, owner: Corgi	
[4/20/23 01:16AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Corgi	
[4/20/23 01:16AM] Player picked up item: Coin, id: 995, amount: 100, owner: Corgi	
[4/20/23 01:16AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Corgi	
[4/20/23 01:17AM] Player picked up item: Coin, id: 995, amount: 100, owner: Corgi	
[4/20/23 01:17AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Corgi	
[4/20/23 01:17AM] Player picked up item: Coin, id: 995, amount: 100, owner: Corgi	
[4/20/23 01:17AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Corgi	
[4/20/23 01:18AM] Player picked up item: Coin, id: 995, amount: 100, owner: Corgi	
[4/20/23 01:18AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Corgi	
[4/20/23 01:18AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Corgi	
[4/20/23 01:18AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Corgi	
[4/20/23 01:19AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Corgi	
[4/20/23 01:19AM] Player picked up item: Coin, id: 995, amount: 100, owner: Corgi	
[4/20/23 01:21AM] Player picked up item: Coin, id: 995, amount: 200, owner: Corgi	
[4/20/23 01:21AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Corgi	
[4/20/23 01:21AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Corgi	
[4/20/23 01:21AM] Player picked up item: Coin, id: 995, amount: 200, owner: Corgi	
[4/20/23 01:22AM] Player picked up item: Coin, id: 995, amount: 200, owner: Corgi	
[4/20/23 01:22AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Corgi	
[4/20/23 01:23AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Corgi	
[4/20/23 01:23AM] Player picked up item: Coin, id: 995, amount: 200, owner: Corgi	
[4/20/23 01:23AM] Player picked up item: Coin, id: 995, amount: 200, owner: Corgi	
[4/20/23 01:23AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Corgi	
[4/20/23 01:23AM] Player picked up item: Coin, id: 995, amount: 200, owner: Corgi	
[4/20/23 01:23AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Corgi	
[4/20/23 01:24AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Corgi	
[4/20/23 01:24AM] Player picked up item: Coin, id: 995, amount: 200, owner: Corgi	
[4/20/23 01:24AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Corgi	
[4/20/23 01:24AM] Player picked up item: Coin, id: 995, amount: 200, owner: Corgi	
