[4/20/23 10:35PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Translucent	
[4/20/23 10:35PM] Player picked up item: Coin, id: 995, amount: 200, owner: Translucent	
[4/20/23 10:36PM] Player picked up item: Coin, id: 995, amount: 100, owner: Translucent	
[4/20/23 10:36PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Translucent	
[4/20/23 10:36PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fkidk	
[4/20/23 10:36PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fkidk	
[4/20/23 10:36PM] Player picked up item: Coin, id: 995, amount: 100, owner: Fkidk	
[4/20/23 10:36PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fkidk	
[4/20/23 10:36PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Fkidk	
[4/20/23 10:36PM] Player picked up item: Coin, id: 995, amount: 100, owner: Fkidk	
[4/20/23 10:37PM] Player picked up item: Coin, id: 995, amount: 100, owner: Fkidk	
[4/20/23 10:37PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fkidk	
[4/20/23 10:37PM] Player picked up item: Coin, id: 995, amount: 100, owner: Fkidk	
[4/20/23 10:37PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Fkidk	
[4/20/23 10:37PM] Player picked up item: Coin, id: 995, amount: 100, owner: Fkidk	
[4/20/23 10:38PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Fkidk	
[4/20/23 10:38PM] Player picked up item: Coin, id: 995, amount: 100, owner: Fkidk	
[4/20/23 10:38PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Fkidk	
[4/20/23 10:38PM] Player picked up item: Starter Legs, id: 705, amount: 1, owner: Fkidk	
[4/20/23 10:38PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fkidk	
[4/20/23 10:38PM] Player picked up item: Coin, id: 995, amount: 100, owner: Fkidk	
[4/20/23 10:38PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fkidk	
[4/20/23 10:38PM] Player picked up item: Coin, id: 995, amount: 100, owner: Fkidk	
[4/20/23 10:38PM] Player picked up item: Coin, id: 995, amount: 100, owner: Fkidk	
[4/20/23 10:38PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fkidk	
[4/20/23 10:39PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fkidk	
[4/20/23 10:39PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Fkidk	
[4/20/23 10:39PM] Player picked up item: Coin, id: 995, amount: 200, owner: Fkidk	
[4/20/23 10:40PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Fkidk	
[4/20/23 10:40PM] Player picked up item: Coin, id: 995, amount: 200, owner: Fkidk	
[4/20/23 10:40PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Fkidk	
[4/20/23 10:40PM] Player picked up item: Coin, id: 995, amount: 200, owner: Fkidk	
[4/20/23 10:40PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Fkidk	
[4/20/23 10:41PM] Player picked up item: Lava bones, id: 2023, amount: 5, owner: Fkidk	
[4/20/23 10:41PM] Player picked up item: Coin, id: 995, amount: 400, owner: Fkidk	
[4/20/23 10:41PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Fkidk	
[4/20/23 10:41PM] Player picked up item: Coin, id: 995, amount: 200, owner: Fkidk	
[4/20/23 10:42PM] Player picked up item: Coin, id: 995, amount: 400, owner: Fkidk	
[4/20/23 10:42PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Fkidk	
[4/20/23 10:42PM] Player picked up item: Coin, id: 995, amount: 200, owner: Fkidk	
[4/20/23 10:42PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Fkidk	
[4/20/23 10:42PM] Player picked up item: Coin, id: 995, amount: 200, owner: Fkidk	
[4/20/23 10:42PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fkidk	
[4/20/23 10:43PM] Player picked up item: Coin, id: 995, amount: 200, owner: Fkidk	
[4/20/23 10:43PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fkidk	
[4/20/23 10:43PM] Player picked up item: Coin, id: 995, amount: 400, owner: Fkidk	
[4/20/23 10:43PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Fkidk	
[4/20/23 10:43PM] Player picked up item: Coin, id: 995, amount: 200, owner: Fkidk	
[4/20/23 10:43PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fkidk	
[4/20/23 10:44PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fkidk	
[4/20/23 10:44PM] Player picked up item: Coin, id: 995, amount: 300, owner: Fkidk	
