[4/20/23 09:02AM] Player picked up item: Blurite Box, id: 14488, amount: 1, owner: Svenaaa	
[4/20/23 09:05AM] Player picked up item: Blurite Cape, id: 20400, amount: 1, owner: Svenaaa	
[4/20/23 09:08AM] Player picked up item: Blurite Box, id: 14488, amount: 1, owner: Svenaaa	
[4/20/23 09:09AM] Player picked up item: Blurite Cape, id: 20400, amount: 1, owner: Svenaaa	
[4/20/23 09:11AM] Player picked up item: Blurite Helm, id: 19984, amount: 1, owner: Svenaaa	
[4/20/23 09:13AM] Player picked up item: Blurite Body, id: 19985, amount: 1, owner: Svenaaa	
[4/20/23 09:14AM] Player picked up item: Blurite Helm, id: 19984, amount: 1, owner: Svenaaa	
[4/20/23 09:20AM] Player picked up item: Coin, id: 995, amount: 1870422, owner: Svenaaa	
[4/20/23 09:20AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Svenaaa	
[4/20/23 09:21AM] Player picked up item: Coin, id: 995, amount: 2121093, owner: Svenaaa	
[4/20/23 09:22AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Svenaaa	
[4/20/23 09:23AM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Svenaaa	
[4/20/23 09:23AM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Svenaaa	
[4/20/23 09:24AM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Svenaaa	
[4/20/23 09:24AM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Svenaaa	
[4/20/23 09:27AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Svenaaa	
[4/20/23 09:27AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Svenaaa	
[4/20/23 09:30AM] Player picked up item: Imperial boots, id: 20089, amount: 1, owner: Svenaaa	
[4/20/23 09:31AM] Player picked up item: Imperial helm, id: 20086, amount: 1, owner: Svenaaa	
[4/20/23 09:33AM] Player picked up item: Imperial legs, id: 20088, amount: 1, owner: Svenaaa	
[4/20/23 09:34AM] Player picked up item: Imperial ring, id: 20093, amount: 1, owner: Svenaaa	
[4/20/23 09:35AM] Player picked up item: Imperial ring, id: 20093, amount: 1, owner: Svenaaa	
[4/20/23 09:39AM] Player picked up item: Coin, id: 995, amount: 3500, owner: Svenaaa	
[4/20/23 09:40AM] Player picked up item: Coin, id: 995, amount: 800, owner: Svenaaa	
[4/20/23 09:41AM] Player picked up item: Coin, id: 995, amount: 1600, owner: Svenaaa	
[4/20/23 09:42AM] Player picked up item: Imperial boots, id: 20089, amount: 1, owner: Svenaaa	
[4/20/23 09:43AM] Player picked up item: Imperial legs, id: 20088, amount: 1, owner: Svenaaa	
[4/20/23 09:45AM] Player picked up item: Imperial Box, id: 14487, amount: 1, owner: Svenaaa	
[4/20/23 09:47AM] Player picked up item: Coin, id: 995, amount: 1600, owner: Svenaaa	
[4/20/23 09:49AM] Player picked up item: Imperial legs, id: 20088, amount: 1, owner: Svenaaa	
[4/20/23 09:51AM] Player picked up item: Coin, id: 995, amount: 1256866, owner: Svenaaa	
[4/20/23 09:51AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Svenaaa	
[4/20/23 12:15PM] Player picked up item: Imperial legs, id: 20088, amount: 1, owner: Svenaaa	
[4/20/23 12:17PM] Player picked up item: Revenant Wings, id: 18005, amount: 1, owner: Svenaaa	
[4/20/23 12:20PM] Player picked up item: Coin, id: 995, amount: 1838710, owner: Svenaaa	
[4/20/23 12:20PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Svenaaa	
[4/20/23 12:21PM] Player picked up item: Coin, id: 995, amount: 4055525, owner: Svenaaa	
[4/20/23 12:21PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Svenaaa	
