[4/23/23 03:13AM] Player picked up item: Coin, id: 995, amount: 100, owner: Whilly	
[4/23/23 03:13AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Whilly	
[4/23/23 03:13AM] Player picked up item: Coin, id: 995, amount: 100, owner: Whilly	
[4/23/23 03:13AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Whilly	
[4/23/23 03:14AM] Player picked up item: Coin, id: 995, amount: 100, owner: Whilly	
[4/23/23 03:14AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Whilly	
[4/23/23 03:14AM] Player picked up item: Coin, id: 995, amount: 100, owner: Whilly	
[4/23/23 03:14AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Whilly	
[4/23/23 03:14AM] Player picked up item: Coin, id: 995, amount: 100, owner: Whilly	
[4/23/23 03:14AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Whilly	
[4/23/23 03:14AM] Player picked up item: Coin, id: 995, amount: 100, owner: Whilly	
[4/23/23 03:14AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Whilly	
[4/23/23 03:15AM] Player picked up item: Coin, id: 995, amount: 100, owner: Whilly	
[4/23/23 03:15AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Whilly	
[4/23/23 03:15AM] Player picked up item: Coin, id: 995, amount: 100, owner: Whilly	
[4/23/23 03:15AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Whilly	
[4/23/23 03:15AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Whilly	
[4/23/23 03:15AM] Player picked up item: Coin, id: 995, amount: 100, owner: Whilly	
