[4/17/23 05:00PM] Player picked up item: Coin, id: 995, amount: 100, owner: Nadez	
[4/17/23 05:00PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Nadez	
[4/17/23 05:01PM] Player picked up item: Coin, id: 995, amount: 100, owner: Nadez	
[4/17/23 05:01PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Nadez	
[4/17/23 05:03PM] Player picked up item: Coin, id: 995, amount: 2221346, owner: Nadez	
[4/17/23 05:03PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Nadez	
[4/17/23 05:06PM] Player picked up item: Coin, id: 995, amount: 100, owner: Nadez	
[4/17/23 05:06PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Nadez	
[4/17/23 06:23PM] Player picked up item: Imperial Staff, id: 18629, amount: 1, owner: Nadez	
[4/17/23 06:45PM] Player picked up item: Revenant Body, id: 18001, amount: 1, owner: Nadez	
[4/17/23 08:32PM] Player picked up item: Imperial Minigun, id: 18636, amount: 1, owner: Nadez	
[4/17/23 08:33PM] Player picked up item: Godly Bow, id: 21018, amount: 1, owner: Nadez	
[4/17/23 09:22PM] Player picked up item: Revenant Legs, id: 18003, amount: 1, owner: Nadez	
[4/17/23 10:16PM] Player picked up item: Coin, id: 995, amount: 10000, owner: Nadez	
[4/18/23 03:37PM] Player picked up item: Nightmare boots, id: 23032, amount: 1, owner: Nadez	
[4/19/23 07:58PM] Player picked up item: Solar Robe Bottom, id: 15647, amount: 1, owner: Nadez	
[4/19/23 08:22PM] Player picked up item: Solar Robe Top, id: 15646, amount: 1, owner: Nadez	
[4/20/23 05:12PM] Player picked up item: Nightmare body, id: 23029, amount: 1, owner: Nadez	
[4/20/23 06:13PM] Player picked up item: Coin, id: 995, amount: 460945606, owner: Nadez	
[4/20/23 06:13PM] Player picked up item: PvM Casket, id: 2736, amount: 1, owner: Nadez	
[4/21/23 03:17PM] Player picked up item: Sanctum Golem Pet, id: 19481, amount: 1, owner: Dogdonny	
[4/26/23 01:52PM] Player picked up item: Transfer Crystal, id: 8788, amount: 1, owner: Nadez	
[4/26/23 01:52PM] Player picked up item: Transfer Crystal, id: 8788, amount: 1, owner: Nadez	
[4/26/23 01:52PM] Player picked up item: Transfer Crystal, id: 8788, amount: 1, owner: Nadez	
[4/26/23 01:52PM] Player picked up item: Transfer Crystal, id: 8788, amount: 1, owner: Nadez	
[4/26/23 01:52PM] Player picked up item: Transfer Crystal, id: 8788, amount: 1, owner: Nadez	
[4/26/23 01:52PM] Player picked up item: Transfer Crystal, id: 8788, amount: 1, owner: Nadez	
