[4/15/23 04:30AM] Player picked up item: Coin, id: 995, amount: 100, owner: M4	
[4/15/23 04:30AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: M4	
[4/15/23 04:30AM] Player picked up item: Coin, id: 995, amount: 100, owner: M4	
[4/15/23 04:30AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: M4	
[4/15/23 04:30AM] Player picked up item: Coin, id: 995, amount: 100, owner: M4	
[4/15/23 04:30AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: M4	
[4/15/23 04:31AM] Player picked up item: Coin, id: 995, amount: 100, owner: M4	
[4/15/23 04:31AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: M4	
[4/15/23 04:31AM] Player picked up item: Coin, id: 995, amount: 100, owner: M4	
[4/15/23 04:31AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: M4	
[4/15/23 04:31AM] Player picked up item: Coin, id: 995, amount: 100, owner: M4	
[4/15/23 04:31AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: M4	
[4/15/23 04:31AM] Player picked up item: Coin, id: 995, amount: 100, owner: M4	
[4/15/23 04:31AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: M4	
[4/15/23 04:31AM] Player picked up item: Coin, id: 995, amount: 100, owner: M4	
[4/15/23 04:31AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: M4	
[4/15/23 04:31AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: M4	
[4/15/23 04:31AM] Player picked up item: Coin, id: 995, amount: 100, owner: M4	
[4/15/23 04:31AM] Player picked up item: Coin, id: 995, amount: 100, owner: M4	
[4/15/23 04:31AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: M4	
[4/15/23 04:32AM] Player picked up item: Coin, id: 995, amount: 200, owner: M4	
[4/15/23 04:32AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: M4	
[4/15/23 04:32AM] Player picked up item: Coin, id: 995, amount: 200, owner: M4	
[4/15/23 04:32AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: M4	
[4/15/23 04:32AM] Player picked up item: Coin, id: 995, amount: 200, owner: M4	
[4/15/23 04:32AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: M4	
[4/15/23 04:32AM] Player picked up item: Coin, id: 995, amount: 200, owner: M4	
[4/15/23 04:32AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: M4	
[4/15/23 04:33AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: M4	
[4/15/23 04:33AM] Player picked up item: Coin, id: 995, amount: 200, owner: M4	
[4/15/23 04:33AM] Player picked up item: Coin, id: 995, amount: 200, owner: M4	
[4/15/23 04:33AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: M4	
[4/15/23 04:33AM] Player picked up item: Coin, id: 995, amount: 200, owner: M4	
[4/15/23 04:33AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: M4	
[4/15/23 04:33AM] Player picked up item: Coin, id: 995, amount: 200, owner: M4	
[4/15/23 04:33AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: M4	
