[4/16/23 02:43PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Bad Luck	
[4/16/23 02:43PM] Player picked up item: Coin, id: 995, amount: 200, owner: Bad Luck	
[4/16/23 02:43PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Bad Luck	
[4/16/23 02:44PM] Player picked up item: Coin, id: 995, amount: 100, owner: Bad Luck	
[4/16/23 02:44PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Bad Luck	
[4/16/23 02:44PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Bad Luck	
[4/16/23 02:44PM] Player picked up item: Coin, id: 995, amount: 100, owner: Bad Luck	
[4/16/23 02:44PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Bad Luck	
[4/16/23 02:44PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Bad Luck	
[4/16/23 02:44PM] Player picked up item: Coin, id: 995, amount: 100, owner: Bad Luck	
[4/16/23 02:44PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Bad Luck	
[4/16/23 02:44PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Bad Luck	
[4/16/23 02:44PM] Player picked up item: Coin, id: 995, amount: 100, owner: Bad Luck	
[4/16/23 02:44PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Bad Luck	
[4/16/23 02:45PM] Player picked up item: Coin, id: 995, amount: 200, owner: Bad Luck	
[4/16/23 02:45PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Bad Luck	
[4/16/23 02:45PM] Player picked up item: Coin, id: 995, amount: 200, owner: Bad Luck	
[4/16/23 02:45PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Bad Luck	
[4/16/23 02:45PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Bad Luck	
[4/16/23 02:45PM] Player picked up item: Coin, id: 995, amount: 200, owner: Bad Luck	
[4/16/23 02:46PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Bad Luck	
[4/16/23 02:46PM] Player picked up item: Coin, id: 995, amount: 200, owner: Bad Luck	
[4/16/23 02:46PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Bad Luck	
[4/16/23 02:46PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Bad Luck	
[4/16/23 02:46PM] Player picked up item: Coin, id: 995, amount: 200, owner: Bad Luck	
[4/16/23 02:46PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Bad Luck	
[4/16/23 02:46PM] Player picked up item: Coin, id: 995, amount: 200, owner: Bad Luck	
[4/16/23 02:46PM] Player picked up item: Lava bones, id: 2023, amount: 4, owner: Bad Luck	
[4/16/23 02:46PM] Player picked up item: Coin, id: 995, amount: 200, owner: Bad Luck	
[4/16/23 02:46PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Bad Luck	
[4/16/23 02:46PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Bad Luck	
[4/16/23 02:46PM] Player picked up item: Coin, id: 995, amount: 200, owner: Bad Luck	
[4/16/23 02:46PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Bad Luck	
[4/16/23 02:46PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Bad Luck	
[4/16/23 02:46PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Bad Luck	
[4/16/23 02:47PM] Player picked up item: Coin, id: 995, amount: 200, owner: Bad Luck	
[4/16/23 02:47PM] Player picked up item: Coin, id: 995, amount: 200, owner: Bad Luck	
[4/16/23 02:47PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Bad Luck	
[4/16/23 02:47PM] Player picked up item: Blurite Ring, id: 19992, amount: 1, owner: Bad Luck	
[4/16/23 02:47PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Bad Luck	
[4/16/23 02:47PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Bad Luck	
[4/16/23 02:47PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Bad Luck	
[4/16/23 02:47PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Bad Luck	
[4/16/23 02:47PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Bad Luck	
[4/16/23 02:47PM] Player picked up item: Coin, id: 995, amount: 200, owner: Bad Luck	
[4/16/23 02:47PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Bad Luck	
[4/16/23 02:47PM] Player picked up item: Coin, id: 995, amount: 200, owner: Bad Luck	
[4/16/23 02:47PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Bad Luck	
[4/16/23 02:49PM] Player picked up item: Blurite Cape, id: 20400, amount: 1, owner: Bad Luck	
[4/16/23 02:50PM] Player picked up item: Blurite Cape, id: 20400, amount: 1, owner: Bad Luck	
[4/16/23 02:51PM] Player picked up item: Blurite Boots, id: 19989, amount: 1, owner: Bad Luck	
[4/16/23 02:51PM] Player picked up item: Blurite Boots, id: 19989, amount: 1, owner: Bad Luck	
[4/16/23 02:54PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Bad Luck	
[4/16/23 02:55PM] Player picked up item: Blurite Ring, id: 19992, amount: 1, owner: Bad Luck	
[4/16/23 02:55PM] Player picked up item: Blurite Legs, id: 19986, amount: 1, owner: Bad Luck	
[4/16/23 02:55PM] Player picked up item: Blurite Legs, id: 19986, amount: 1, owner: Bad Luck	
[4/16/23 02:56PM] Player picked up item: Blurite Gloves, id: 19988, amount: 1, owner: Bad Luck	
