[4/18/23 05:53PM] Player picked up item: Coin, id: 995, amount: 200, owner: Olliv1125	
[4/18/23 05:54PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Olliv1125	
[4/18/23 05:54PM] Player picked up item: Coin, id: 995, amount: 100, owner: Olliv1125	
[4/18/23 05:54PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Olliv1125	
[4/18/23 05:54PM] Player picked up item: Coin, id: 995, amount: 100, owner: Olliv1125	
[4/18/23 05:54PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Olliv1125	
[4/18/23 05:55PM] Player picked up item: Coin, id: 995, amount: 100, owner: Olliv1125	
[4/18/23 05:55PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Olliv1125	
[4/18/23 05:55PM] Player picked up item: Coin, id: 995, amount: 100, owner: Olliv1125	
[4/18/23 05:55PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Olliv1125	
[4/18/23 05:55PM] Player picked up item: Coin, id: 995, amount: 100, owner: Olliv1125	
[4/18/23 05:55PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Olliv1125	
[4/18/23 05:56PM] Player picked up item: Coin, id: 995, amount: 100, owner: Olliv1125	
[4/18/23 05:56PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Olliv1125	
[4/18/23 07:22PM] Player picked up item: Coin, id: 995, amount: 100, owner: Olliv1125	
[4/18/23 07:22PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Olliv1125	
[4/18/23 07:23PM] Player picked up item: Coin, id: 995, amount: 100, owner: Olliv1125	
[4/18/23 07:23PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Olliv1125	
[4/18/23 07:23PM] Player picked up item: Coin, id: 995, amount: 100, owner: Olliv1125	
[4/18/23 07:23PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Olliv1125	
[4/18/23 07:23PM] Player picked up item: Coin, id: 995, amount: 100, owner: Olliv1125	
[4/18/23 07:23PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Olliv1125	
[4/18/23 07:23PM] Player picked up item: Coin, id: 995, amount: 100, owner: Olliv1125	
