[4/16/23 07:04PM] Player picked up item: Blurite Helm, id: 19984, amount: 1, owner: Med Nuts	
[4/16/23 07:05PM] Player picked up item: Coin, id: 995, amount: 200, owner: Med Nuts	
[4/16/23 07:05PM] Player picked up item: Coin, id: 995, amount: 200, owner: Med Nuts	
[4/16/23 07:08PM] Player picked up item: Blurite Boots, id: 19989, amount: 1, owner: Med Nuts	
[4/16/23 07:15PM] Player picked up item: Blurite Boots, id: 19989, amount: 1, owner: Med Nuts	
[4/16/23 07:15PM] Player picked up item: Blurite Box, id: 14488, amount: 1, owner: Med Nuts	
[4/16/23 07:16PM] Player picked up item: Blurite Gloves, id: 19988, amount: 1, owner: Med Nuts	
[4/16/23 07:16PM] Player picked up item: Coin, id: 995, amount: 500, owner: Med Nuts	
[4/16/23 07:19PM] Player picked up item: Imperial legs, id: 20088, amount: 1, owner: Med Nuts	
[4/16/23 07:19PM] Player picked up item: Coin, id: 995, amount: 600, owner: Med Nuts	
[4/16/23 07:21PM] Player picked up item: Imperial boots, id: 20089, amount: 1, owner: Med Nuts	
[4/16/23 07:22PM] Player picked up item: Imperial legs, id: 20088, amount: 1, owner: Med Nuts	
[4/16/23 07:23PM] Player picked up item: Imperial gloves, id: 20091, amount: 1, owner: Med Nuts	
[4/16/23 07:23PM] Player picked up item: Coin, id: 995, amount: 700, owner: Med Nuts	
[4/16/23 07:24PM] Player picked up item: Coin, id: 995, amount: 1417600, owner: Med Nuts	
[4/16/23 07:24PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Med Nuts	
[4/16/23 07:26PM] Player picked up item: Imperial legs, id: 20088, amount: 1, owner: Med Nuts	
[4/16/23 07:26PM] Player picked up item: Imperial legs, id: 20088, amount: 1, owner: Med Nuts	
[4/16/23 07:26PM] Player picked up item: Coin, id: 995, amount: 1400, owner: Med Nuts	
[4/16/23 07:26PM] Player picked up item: Imperial helm, id: 20086, amount: 1, owner: Med Nuts	
[4/16/23 07:26PM] Player picked up item: Imperial boots, id: 20089, amount: 1, owner: Med Nuts	
[4/16/23 07:26PM] Player picked up item: Imperial Box, id: 14487, amount: 1, owner: Med Nuts	
[4/16/23 07:27PM] Player picked up item: Imperial helm, id: 20086, amount: 1, owner: Med Nuts	
[4/16/23 07:28PM] Player picked up item: Imperial Box, id: 14487, amount: 1, owner: Med Nuts	
[4/16/23 07:28PM] Player picked up item: Imperial helm, id: 20086, amount: 1, owner: Med Nuts	
[4/16/23 07:29PM] Player picked up item: Coin, id: 995, amount: 800, owner: Med Nuts	
[4/16/23 07:29PM] Player picked up item: Coin, id: 995, amount: 800, owner: Med Nuts	
[4/16/23 07:29PM] Player picked up item: Imperial Box, id: 14487, amount: 1, owner: Med Nuts	
[4/16/23 07:31PM] Player picked up item: Coin, id: 995, amount: 800, owner: Med Nuts	
[4/16/23 07:32PM] Player picked up item: Imperial ring, id: 20093, amount: 1, owner: Med Nuts	
[4/16/23 07:32PM] Player picked up item: Imperial gloves, id: 20091, amount: 1, owner: Med Nuts	
[4/16/23 07:32PM] Player picked up item: Coin, id: 995, amount: 2400, owner: Med Nuts	
[4/16/23 07:33PM] Player picked up item: Imperial ring, id: 20093, amount: 1, owner: Med Nuts	
[4/16/23 07:34PM] Player picked up item: Imperial amulet, id: 20092, amount: 1, owner: Med Nuts	
[4/16/23 07:34PM] Player picked up item: Imperial gloves, id: 20091, amount: 1, owner: Med Nuts	
[4/16/23 07:34PM] Player picked up item: Imperial boots, id: 20089, amount: 1, owner: Med Nuts	
[4/16/23 07:35PM] Player picked up item: Coin, id: 995, amount: 1800, owner: Med Nuts	
[4/16/23 07:35PM] Player picked up item: Imperial Box, id: 14487, amount: 1, owner: Med Nuts	
[4/16/23 07:35PM] Player picked up item: Imperial gloves, id: 20091, amount: 1, owner: Med Nuts	
[4/16/23 07:35PM] Player picked up item: Imperial gloves, id: 20091, amount: 1, owner: Med Nuts	
[4/16/23 07:36PM] Player picked up item: Imperial helm, id: 20086, amount: 1, owner: Med Nuts	
[4/16/23 07:37PM] Player picked up item: Imperial Box, id: 14487, amount: 1, owner: Med Nuts	
[4/16/23 07:37PM] Player picked up item: Imperial body, id: 20087, amount: 1, owner: Med Nuts	
[4/16/23 07:39PM] Player picked up item: Imperial Box, id: 14487, amount: 1, owner: Med Nuts	
[4/16/23 07:41PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Med Nuts	
[4/16/23 07:44PM] Player picked up item: Revenant Helm, id: 17999, amount: 1, owner: Med Nuts	
[4/16/23 07:45PM] Player picked up item: Coin, id: 995, amount: 3000, owner: Med Nuts	
[4/16/23 07:45PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Med Nuts	
[4/16/23 07:49PM] Player picked up item: Zinq boots, id: 23054, amount: 1, owner: Med Nuts	
[4/16/23 07:50PM] Player picked up item: Coin, id: 995, amount: 4000, owner: Med Nuts	
[4/16/23 07:54PM] Player picked up item: Coin, id: 995, amount: 2120692, owner: Med Nuts	
[4/16/23 07:54PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Med Nuts	
[4/16/23 07:57PM] Player picked up item: Zinq boots, id: 23054, amount: 1, owner: Med Nuts	
[4/16/23 07:57PM] Player picked up item: Zinq boots, id: 23054, amount: 1, owner: Med Nuts	
[4/16/23 08:00PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Med Nuts	
[4/16/23 08:01PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Med Nuts	
[4/16/23 08:01PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Med Nuts	
[4/16/23 08:01PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Med Nuts	
[4/16/23 08:06PM] Player picked up item: Coin, id: 995, amount: 4000, owner: Med Nuts	
[4/16/23 08:06PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Med Nuts	
[4/16/23 08:06PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Med Nuts	
[4/16/23 08:06PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Med Nuts	
[4/16/23 08:07PM] Player picked up item: Coin, id: 995, amount: 4000, owner: Med Nuts	
[4/16/23 08:07PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Med Nuts	
[4/16/23 08:09PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Med Nuts	
[4/16/23 08:11PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Med Nuts	
[4/16/23 08:11PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Med Nuts	
[4/16/23 08:20PM] Player picked up item: Coin, id: 995, amount: 4000, owner: Med Nuts	
[4/16/23 08:21PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Med Nuts	
[4/16/23 08:21PM] Player picked up item: Coin, id: 995, amount: 6000, owner: Med Nuts	
[4/16/23 08:21PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Med Nuts	
[4/16/23 08:24PM] Player picked up item: Coin, id: 995, amount: 2320633, owner: Med Nuts	
[4/16/23 08:24PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Med Nuts	
[4/16/23 08:25PM] Player picked up item: Coin, id: 995, amount: 3295941, owner: Med Nuts	
[4/16/23 08:25PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Med Nuts	
[4/16/23 08:26PM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Med Nuts	
[4/16/23 08:26PM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Med Nuts	
[4/17/23 07:46AM] Player picked up item: Coin, id: 995, amount: 6000, owner: Med Nuts	
[4/17/23 07:46AM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Med Nuts	
[4/17/23 07:47AM] Player picked up item: Coin, id: 995, amount: 4000, owner: Med Nuts	
[4/17/23 07:47AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Med Nuts	
[4/17/23 07:48AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Med Nuts	
[4/17/23 07:48AM] Player picked up item: Zinq legs, id: 23052, amount: 1, owner: Med Nuts	
[4/17/23 07:49AM] Player picked up item: Coin, id: 995, amount: 2000, owner: Med Nuts	
[4/17/23 07:50AM] Player picked up item: Coin, id: 995, amount: 4000, owner: Med Nuts	
[4/17/23 07:50AM] Player picked up item: Coin, id: 995, amount: 6000, owner: Med Nuts	
[4/17/23 07:50AM] Player picked up item: Zinq legs, id: 23052, amount: 1, owner: Med Nuts	
[4/17/23 07:50AM] Player picked up item: Coin, id: 995, amount: 4000, owner: Med Nuts	
[4/17/23 07:50AM] Player picked up item: Coin, id: 995, amount: 2000, owner: Med Nuts	
[4/17/23 07:50AM] Player picked up item: Coin, id: 995, amount: 4000, owner: Med Nuts	
[4/17/23 07:51AM] Player picked up item: Coin, id: 995, amount: 2000, owner: Med Nuts	
[4/17/23 07:51AM] Player picked up item: Coin, id: 995, amount: 2000, owner: Med Nuts	
[4/17/23 07:51AM] Player picked up item: Coin, id: 995, amount: 2000, owner: Med Nuts	
[4/17/23 07:52AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Med Nuts	
[4/17/23 07:52AM] Player picked up item: Coin, id: 995, amount: 4000, owner: Med Nuts	
[4/17/23 07:52AM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Med Nuts	
[4/17/23 07:52AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Med Nuts	
[4/17/23 01:18PM] Player picked up item: Aberrant Legs, id: 20594, amount: 1, owner: Med Nuts	
[4/19/23 06:29PM] Player picked up item: Sanctum Golem Pet, id: 19481, amount: 1, owner: Onlyfans	
[4/19/23 06:30PM] Player picked up item: Sanctum Golem Pet, id: 19481, amount: 1, owner: Onlyfans	
[4/19/23 06:30PM] Player picked up item: Gorvek Pet, id: 23081, amount: 1, owner: Onlyfans	
