[4/18/23 10:37PM] Player picked up item: Coin, id: 995, amount: 100, owner: Jeimin	
[4/18/23 10:37PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Jeimin	
[4/18/23 10:37PM] Player picked up item: Coin, id: 995, amount: 100, owner: Jeimin	
[4/18/23 10:37PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Jeimin	
[4/18/23 10:37PM] Player picked up item: Coin, id: 995, amount: 100, owner: Jeimin	
[4/18/23 10:37PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Jeimin	
[4/18/23 10:37PM] Player picked up item: Coin, id: 995, amount: 100, owner: Jeimin	
[4/18/23 10:37PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Jeimin	
[4/18/23 10:38PM] Player picked up item: Coin, id: 995, amount: 100, owner: Jeimin	
[4/18/23 10:38PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Jeimin	
[4/18/23 10:38PM] Player picked up item: Coin, id: 995, amount: 100, owner: Jeimin	
[4/18/23 10:38PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Jeimin	
[4/18/23 10:38PM] Player picked up item: Coin, id: 995, amount: 100, owner: Jeimin	
[4/18/23 10:38PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Jeimin	
[4/18/23 10:38PM] Player picked up item: Coin, id: 995, amount: 100, owner: Jeimin	
[4/18/23 10:38PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Jeimin	
[4/18/23 10:39PM] Player picked up item: Coin, id: 995, amount: 100, owner: Jeimin	
[4/18/23 10:39PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Jeimin	
[4/18/23 10:39PM] Player picked up item: Coin, id: 995, amount: 100, owner: Jeimin	
[4/18/23 10:39PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Jeimin	
[4/18/23 10:42PM] Player picked up item: Coin, id: 995, amount: 300, owner: Jeimin	
[4/18/23 11:01PM] Player picked up item: Coin, id: 995, amount: 700, owner: Jeimin	
[4/18/23 11:06PM] Player picked up item: Coin, id: 995, amount: 4800, owner: Jeimin	
