[4/16/23 05:10PM] Player picked up item: Coin, id: 995, amount: 100, owner: Tgaming	
[4/16/23 05:10PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Tgaming	
[4/16/23 05:10PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Mondo	
[4/16/23 05:10PM] Player picked up item: Coin, id: 995, amount: 200, owner: Mondo	
[4/16/23 05:10PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Tgaming	
[4/16/23 05:10PM] Player picked up item: Coin, id: 995, amount: 100, owner: Slayerfly	
[4/16/23 05:12PM] Player picked up item: Coin, id: 995, amount: 500, owner: Tgaming	
[4/16/23 05:12PM] Player picked up item: Coin, id: 995, amount: 100, owner: Tgaming	
[4/16/23 05:12PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Tgaming	
[4/16/23 05:12PM] Player picked up item: Coin, id: 995, amount: 400, owner: Tgaming	
[4/16/23 05:13PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Tgaming	
[4/16/23 05:13PM] Player picked up item: Coin, id: 995, amount: 200, owner: Tgaming	
[4/16/23 05:13PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Tgaming	
[4/16/23 05:13PM] Player picked up item: Coin, id: 995, amount: 200, owner: Tgaming	
[4/16/23 05:13PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Tgaming	
[4/16/23 05:13PM] Player picked up item: Coin, id: 995, amount: 200, owner: Tgaming	
[4/16/23 05:13PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Tgaming	
[4/16/23 05:16PM] Player picked up item: Coin, id: 995, amount: 2700, owner: Tgaming	
[4/16/23 05:16PM] Player picked up item: Lava bones, id: 2023, amount: 10, owner: Tgaming	
[4/16/23 05:17PM] Player picked up item: Coin, id: 995, amount: 300, owner: Tgaming	
[4/16/23 05:17PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Tgaming	
[4/16/23 05:19PM] Player picked up item: Blurite Legs, id: 19986, amount: 1, owner: Tgaming	
[4/16/23 05:24PM] Player picked up item: Coin, id: 995, amount: 2393042, owner: Tgaming	
[4/16/23 05:24PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Tgaming	
[4/16/23 05:34PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Tgaming	
[4/16/23 05:34PM] Player picked up item: Lava bones, id: 2023, amount: 4, owner: Tgaming	
[4/16/23 05:34PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Tgaming	
[4/16/23 05:34PM] Player picked up item: Coin, id: 995, amount: 1500, owner: Tgaming	
[4/16/23 05:38PM] Player picked up item: Lava bones, id: 2023, amount: 5, owner: Tgaming	
[4/16/23 05:38PM] Player picked up item: Coin, id: 995, amount: 1000, owner: Tgaming	
[4/16/23 05:38PM] Player picked up item: Lava bones, id: 2023, amount: 4, owner: Tgaming	
[4/16/23 05:40PM] Player picked up item: Lava bones, id: 2023, amount: 4, owner: Tgaming	
[4/16/23 05:40PM] Player picked up item: Coin, id: 995, amount: 1500, owner: Tgaming	
[4/16/23 05:41PM] Player picked up item: Coin, id: 995, amount: 1500, owner: Tgaming	
[4/16/23 05:41PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Tgaming	
[4/16/23 05:42PM] Player picked up item: Coin, id: 995, amount: 1500, owner: Tgaming	
[4/16/23 05:42PM] Player picked up item: Lava bones, id: 2023, amount: 5, owner: Tgaming	
