[4/17/23 09:49AM] Player picked up item: Coin, id: 995, amount: 100, owner: Cookie	
[4/17/23 09:49AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cookie	
[4/17/23 09:49AM] Player picked up item: Coin, id: 995, amount: 100, owner: Cookie	
[4/17/23 09:49AM] Player picked up item: Coin, id: 995, amount: 100, owner: Cookie	
[4/17/23 09:50AM] Player picked up item: Coin, id: 995, amount: 100, owner: Cookie	
[4/17/23 09:50AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cookie	
[4/17/23 09:50AM] Player picked up item: Coin, id: 995, amount: 100, owner: Cookie	
[4/17/23 09:50AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cookie	
[4/17/23 09:50AM] Player picked up item: Coin, id: 995, amount: 100, owner: Cookie	
[4/17/23 09:50AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Cookie	
[4/17/23 09:50AM] Player picked up item: Coin, id: 995, amount: 400, owner: Cookie	
[4/17/23 09:50AM] Player picked up item: Blurite Gloves, id: 19988, amount: 1, owner: Cookie	
[4/17/23 09:51AM] Player picked up item: Coin, id: 995, amount: 200, owner: Cookie	
[4/17/23 09:54AM] Player picked up item: Blurite Legs, id: 19986, amount: 1, owner: Cookie	
[4/17/23 09:54AM] Player picked up item: Blurite Helm, id: 19984, amount: 1, owner: Cookie	
[4/17/23 09:55AM] Player picked up item: Coin, id: 995, amount: 400, owner: Cookie	
[4/17/23 09:57AM] Player picked up item: DR Potion (Godly), id: 3086, amount: 1, owner: Cookie	
[4/17/23 09:58AM] Player picked up item: EXP Potion (Divine), id: 1033, amount: 1, owner: Cookie	
[4/17/23 09:58AM] Player picked up item: DMG Potion (Mortal), id: 3090, amount: 1, owner: Cookie	
[4/17/23 09:58AM] Player picked up item: Coin, id: 995, amount: 400, owner: Cookie	
[4/17/23 10:33AM] Player picked up item: Coin, id: 995, amount: 1758611, owner: Cookie	
[4/17/23 10:34AM] Player picked up item: Coin, id: 995, amount: 3873876, owner: Cookie	
[4/17/23 10:34AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Cookie	
[4/17/23 10:35AM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Cookie	
[4/17/23 10:35AM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Cookie	
[4/17/23 10:35AM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Cookie	
[4/17/23 10:35AM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Cookie	
[4/17/23 10:39AM] Player picked up item: Imperial body, id: 20087, amount: 1, owner: Cookie	
[4/17/23 10:48AM] Player picked up item: Coin, id: 995, amount: 1600, owner: Cookie	
[4/17/23 10:48AM] Player picked up item: Imperial body, id: 20087, amount: 1, owner: Cookie	
[4/17/23 10:48AM] Player picked up item: Imperial body, id: 20087, amount: 1, owner: Cookie	
[4/17/23 10:49AM] Player picked up item: Imperial amulet, id: 20092, amount: 1, owner: Cookie	
[4/17/23 10:49AM] Player picked up item: Coin, id: 995, amount: 800, owner: Cookie	
[4/17/23 10:50AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cookie	
[4/17/23 10:50AM] Player picked up item: Coin, id: 995, amount: 1600, owner: Cookie	
[4/17/23 10:55AM] Player picked up item: Imperial Box, id: 14487, amount: 1, owner: Cookie	
[4/17/23 10:55AM] Player picked up item: Imperial Minigun, id: 18636, amount: 1, owner: Cookie	
[4/17/23 10:56AM] Player picked up item: Imperial legs, id: 20088, amount: 1, owner: Cookie	
[4/17/23 11:02AM] Player picked up item: Revenant Wings, id: 18005, amount: 1, owner: Cookie	
[4/17/23 11:03AM] Player picked up item: Coin, id: 995, amount: 2082555, owner: Cookie	
[4/17/23 11:03AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Cookie	
[4/17/23 11:03AM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Cookie	
[4/17/23 11:03AM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Cookie	
[4/17/23 11:05AM] Player picked up item: Coin, id: 995, amount: 3477144, owner: Cookie	
[4/17/23 11:05AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Cookie	
[4/17/23 11:06AM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Cookie	
[4/17/23 11:06AM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Cookie	
[4/17/23 11:07AM] Player picked up item: Coin, id: 995, amount: 1500, owner: Cookie	
[4/17/23 11:07AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cookie	
[4/17/23 11:08AM] Player picked up item: Coin, id: 995, amount: 1500, owner: Cookie	
[4/17/23 11:08AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Cookie	
[4/17/23 11:09AM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Cookie	
[4/17/23 11:09AM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Cookie	
[4/17/23 11:10AM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Cookie	
[4/17/23 11:10AM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Cookie	
