[4/15/23 12:22AM] Player picked up item: Coin, id: 995, amount: 100, owner: Nelly	
[4/15/23 12:22AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Nelly	
[4/15/23 12:22AM] Player picked up item: Coin, id: 995, amount: 100, owner: Nelly	
[4/15/23 12:22AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Nelly	
[4/15/23 12:22AM] Player picked up item: Coin, id: 995, amount: 100, owner: Nelly	
[4/15/23 12:22AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Nelly	
[4/15/23 12:22AM] Player picked up item: Coin, id: 995, amount: 100, owner: Nelly	
[4/15/23 12:23AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Nelly	
[4/15/23 12:23AM] Player picked up item: Coin, id: 995, amount: 100, owner: Nelly	
[4/15/23 12:23AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Nelly	
[4/15/23 12:23AM] Player picked up item: Coin, id: 995, amount: 100, owner: Nelly	
[4/15/23 12:23AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Nelly	
[4/15/23 12:23AM] Player picked up item: Coin, id: 995, amount: 100, owner: Nelly	
[4/15/23 12:23AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Nelly	
[4/15/23 12:23AM] Player picked up item: Coin, id: 995, amount: 100, owner: Nelly	
[4/15/23 12:23AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Nelly	
[4/15/23 12:24AM] Player picked up item: Coin, id: 995, amount: 100, owner: Nelly	
[4/15/23 12:24AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Nelly	
[4/15/23 12:24AM] Player picked up item: Coin, id: 995, amount: 100, owner: Nelly	
[4/15/23 12:24AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Nelly	
[4/15/23 12:25AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Nelly	
[4/15/23 12:25AM] Player picked up item: Coin, id: 995, amount: 200, owner: Nelly	
[4/15/23 12:25AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Nelly	
[4/15/23 12:25AM] Player picked up item: Coin, id: 995, amount: 200, owner: Nelly	
[4/15/23 12:25AM] Player picked up item: Coin, id: 995, amount: 200, owner: Nelly	
[4/15/23 12:25AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Nelly	
[4/15/23 12:25AM] Player picked up item: Coin, id: 995, amount: 200, owner: Nelly	
[4/15/23 12:25AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Nelly	
