[4/15/23 06:56PM] Player picked up item: Coin, id: 995, amount: 100, owner: Eden	
[4/15/23 06:56PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Eden	
[4/15/23 06:57PM] Player picked up item: Coin, id: 995, amount: 100, owner: Eden	
[4/15/23 06:57PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Eden	
[4/15/23 06:58PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Eden	
[4/15/23 06:58PM] Player picked up item: Coin, id: 995, amount: 100, owner: Eden	
[4/15/23 07:00PM] Player picked up item: Coin, id: 995, amount: 2145530, owner: Eden	
[4/15/23 07:00PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Eden	
[4/16/23 01:58PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Eden	
[4/16/23 01:58PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Eden	
[4/16/23 01:59PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Pokker	
[4/16/23 01:59PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Pokker	
[4/16/23 02:04PM] Player picked up item: Coin, id: 995, amount: 200, owner: Eden	
[4/16/23 02:04PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Eden	
[4/16/23 02:04PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Eden	
[4/16/23 02:06PM] Player picked up item: Blurite Legs, id: 19986, amount: 1, owner: Eden	
[4/16/23 02:27PM] Player picked up item: Coin, id: 995, amount: 300, owner: Eden	
[4/16/23 02:27PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Eden	
