[4/19/23 04:23PM] Player picked up item: Coin, id: 995, amount: 100, owner: Habit	
[4/19/23 04:23PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Habit	
[4/19/23 04:23PM] Player picked up item: Coin, id: 995, amount: 100, owner: Habit	
[4/19/23 04:23PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Habit	
[4/19/23 04:23PM] Player picked up item: Coin, id: 995, amount: 100, owner: Habit	
[4/19/23 04:23PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Habit	
[4/19/23 04:23PM] Player picked up item: Coin, id: 995, amount: 100, owner: Habit	
[4/19/23 04:23PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Habit	
[4/19/23 04:24PM] Player picked up item: Coin, id: 995, amount: 100, owner: Habit	
[4/19/23 04:24PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Habit	
[4/19/23 04:24PM] Player picked up item: Coin, id: 995, amount: 100, owner: Habit	
[4/19/23 04:24PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Habit	
[4/19/23 04:24PM] Player picked up item: Coin, id: 995, amount: 100, owner: Habit	
[4/19/23 04:24PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Habit	
[4/19/23 04:24PM] Player picked up item: Coin, id: 995, amount: 100, owner: Habit	
[4/19/23 04:24PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Habit	
[4/19/23 04:24PM] Player picked up item: Coin, id: 995, amount: 100, owner: Habit	
[4/19/23 04:24PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Habit	
[4/19/23 04:24PM] Player picked up item: Coin, id: 995, amount: 100, owner: Habit	
[4/19/23 04:24PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Habit	
[4/19/23 04:25PM] Player picked up item: Coin, id: 995, amount: 200, owner: Habit	
[4/19/23 04:25PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Habit	
[4/19/23 04:25PM] Player picked up item: Coin, id: 995, amount: 200, owner: Habit	
