[4/15/23 02:50AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Creation	
[4/15/23 02:50AM] Player picked up item: Coin, id: 995, amount: 200, owner: Creation	
[4/15/23 02:50AM] Player picked up item: Coin, id: 995, amount: 100, owner: Creation	
[4/15/23 02:50AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Creation	
[4/15/23 02:51AM] Player picked up item: Coin, id: 995, amount: 100, owner: Creation	
[4/15/23 02:51AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Creation	
[4/15/23 02:51AM] Player picked up item: Coin, id: 995, amount: 100, owner: Creation	
[4/15/23 02:51AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Creation	
[4/15/23 02:52AM] Player picked up item: Coin, id: 995, amount: 100, owner: Creation	
[4/15/23 02:52AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Creation	
[4/15/23 02:52AM] Player picked up item: Coin, id: 995, amount: 100, owner: Creation	
[4/15/23 02:52AM] Player picked up item: Coin, id: 995, amount: 100, owner: Creation	
[4/15/23 02:52AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Creation	
[4/15/23 02:52AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Creation	
[4/15/23 02:52AM] Player picked up item: Coin, id: 995, amount: 200, owner: Creation	
[4/15/23 02:53AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Creation	
[4/15/23 02:53AM] Player picked up item: Coin, id: 995, amount: 200, owner: Creation	
[4/15/23 02:53AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Creation	
[4/15/23 02:53AM] Player picked up item: Coin, id: 995, amount: 200, owner: Creation	
[4/15/23 02:53AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Creation	
[4/15/23 02:53AM] Player picked up item: Coin, id: 995, amount: 200, owner: Creation	
[4/15/23 02:53AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Creation	
[4/15/23 02:54AM] Player picked up item: Coin, id: 995, amount: 200, owner: Creation	
[4/15/23 02:54AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Creation	
[4/15/23 02:54AM] Player picked up item: Coin, id: 995, amount: 200, owner: Creation	
[4/15/23 02:54AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Creation	
[4/15/23 02:55AM] Player picked up item: Coin, id: 995, amount: 400, owner: Creation	
[4/15/23 02:55AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Creation	
