[4/23/23 04:16AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Notarez	
[4/23/23 04:16AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Notarez	
[4/24/23 05:46AM] Player picked up item: Coin, id: 995, amount: 1000000, owner: Notarez	
[4/24/23 05:46AM] Player picked up item: Progressive Box [T1], id: 10025, amount: 1, owner: Notarez	
[4/24/23 05:46AM] Player picked up item: Fury shark, id: 17817, amount: 1, owner: Notarez	
[4/24/23 05:46AM] Player picked up item: Fury shark, id: 17817, amount: 1, owner: Notarez	
[4/24/23 05:46AM] Player picked up item: Fury shark, id: 17817, amount: 1, owner: Notarez	
[4/24/23 05:46AM] Player picked up item: Imperial Box, id: 14487, amount: 2, owner: Notarez	
[4/24/23 05:46AM] Player picked up item: DR Potion (Godly), id: 3086, amount: 1, owner: Notarez	
[4/24/23 05:46AM] Player picked up item: EXP Potion (Divine), id: 1033, amount: 1, owner: Notarez	
[4/24/23 05:46AM] Player picked up item: DMG Potion (Mortal), id: 3090, amount: 1, owner: Notarez	
[4/24/23 05:48AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Notarez	
[4/24/23 05:48AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Notarez	
[4/24/23 05:48AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Notarez	
[4/24/23 05:52AM] Player picked up item: Coin, id: 995, amount: 400, owner: Notarez	
[4/24/23 05:53AM] Player picked up item: Coin, id: 995, amount: 500, owner: Notarez	
[4/24/23 05:53AM] Player picked up item: Coin, id: 995, amount: 500, owner: Notarez	
