[4/15/23 08:57AM] Player picked up item: Coin, id: 995, amount: 100, owner: Drgoat	
[4/15/23 08:57AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Drgoat	
[4/15/23 08:58AM] Player picked up item: Coin, id: 995, amount: 100, owner: Drgoat	
[4/15/23 08:58AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Drgoat	
[4/15/23 08:59AM] Player picked up item: Nightmare legs, id: 23030, amount: 1, owner: Drgoat	
[4/15/23 09:05AM] Player picked up item: Coin, id: 995, amount: 200, owner: Drgoat	
[4/15/23 09:05AM] Player picked up item: Coin, id: 995, amount: 1000, owner: Drgoat	
[4/15/23 09:05AM] Player picked up item: Lava bones, id: 2023, amount: 5, owner: Drgoat	
[4/15/23 09:05AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Drgoat	
[4/15/23 09:05AM] Player picked up item: Coin, id: 995, amount: 400, owner: Drgoat	
[4/15/23 09:09AM] Player picked up item: Coin, id: 995, amount: 1500, owner: Drgoat	
[4/15/23 09:09AM] Player picked up item: Lava bones, id: 2023, amount: 5, owner: Drgoat	
[4/15/23 09:09AM] Player picked up item: Coin, id: 995, amount: 300, owner: Drgoat	
[4/15/23 09:09AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Drgoat	
[4/15/23 09:09AM] Player picked up item: Coin, id: 995, amount: 900, owner: Drgoat	
[4/15/23 09:09AM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Drgoat	
[4/15/23 09:13AM] Player picked up item: Blurite Gloves, id: 19988, amount: 1, owner: Drgoat	
[4/15/23 09:13AM] Player picked up item: Coin, id: 995, amount: 1500, owner: Drgoat	
[4/15/23 09:13AM] Player picked up item: Lava bones, id: 2023, amount: 6, owner: Drgoat	
