[4/19/23 11:34AM] Player picked up item: Blurite Legs, id: 19986, amount: 1, owner: Monsou	
[4/19/23 11:41AM] Player picked up item: Blurite Boots, id: 19989, amount: 1, owner: Monsou	
[4/19/23 11:44AM] Player picked up item: Coin, id: 995, amount: 2284522, owner: Monsou	
[4/19/23 11:44AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Monsou	
[4/19/23 11:45AM] Player picked up item: Coin, id: 995, amount: 2406048, owner: Monsou	
[4/19/23 11:45AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Monsou	
[4/19/23 11:46AM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Monsou	
[4/19/23 11:46AM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Monsou	
[4/19/23 11:47AM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Monsou	
[4/19/23 11:47AM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Monsou	
[4/19/23 11:54AM] Player picked up item: Blurite Body, id: 19985, amount: 1, owner: Monsou	
[4/19/23 12:11PM] Player picked up item: Imperial amulet, id: 20092, amount: 1, owner: Monsou	
[4/19/23 12:11PM] Player picked up item: Imperial legs, id: 20088, amount: 1, owner: Monsou	
[4/19/23 12:12PM] Player picked up item: Imperial legs, id: 20088, amount: 1, owner: Monsou	
[4/19/23 12:15PM] Player picked up item: Coin, id: 995, amount: 2069841, owner: Monsou	
[4/19/23 12:15PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Monsou	
[4/19/23 12:17PM] Player picked up item: Coin, id: 995, amount: 3990576, owner: Monsou	
[4/19/23 12:17PM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Monsou	
[4/19/23 12:18PM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Monsou	
[4/19/23 12:18PM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Monsou	
[4/19/23 12:18PM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Monsou	
[4/19/23 12:18PM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Monsou	
[4/19/23 12:19PM] Player picked up item: Imperial body, id: 20087, amount: 1, owner: Monsou	
[4/19/23 12:21PM] Player picked up item: Coin, id: 995, amount: 4800, owner: Monsou	
[4/19/23 12:33PM] Player picked up item: Imperial ring, id: 20093, amount: 1, owner: Monsou	
[4/19/23 12:34PM] Player picked up item: Imperial boots, id: 20089, amount: 1, owner: Monsou	
[4/19/23 12:44PM] Player picked up item: Revenant Body, id: 18001, amount: 1, owner: Monsou	
[4/19/23 12:45PM] Player picked up item: Coin, id: 995, amount: 2184895, owner: Monsou	
[4/19/23 12:45PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Monsou	
[4/19/23 12:46PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Monsou	
[4/19/23 12:46PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Monsou	
[4/19/23 12:47PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Monsou	
[4/19/23 12:48PM] Player picked up item: Revenant whip, id: 18011, amount: 1, owner: Monsou	
[4/19/23 12:48PM] Player picked up item: Revenant whip, id: 18011, amount: 1, owner: Monsou	
[4/19/23 12:53PM] Player picked up item: Coin, id: 995, amount: 3000, owner: Monsou	
[4/19/23 12:54PM] Player picked up item: Coin, id: 995, amount: 1500, owner: Monsou	
[4/19/23 12:55PM] Player picked up item: Coin, id: 995, amount: 1500, owner: Monsou	
[4/19/23 12:59PM] Player picked up item: Coin, id: 995, amount: 9000, owner: Monsou	
[4/19/23 01:09PM] Player picked up item: Coin, id: 995, amount: 2000, owner: Monsou	
[4/19/23 01:09PM] Player picked up item: Zinq legs, id: 23052, amount: 1, owner: Monsou	
[4/19/23 01:14PM] Player picked up item: Coin, id: 995, amount: 1930611, owner: Monsou	
[4/19/23 01:14PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Monsou	
[4/19/23 01:15PM] Player picked up item: Coin, id: 995, amount: 3847275, owner: Monsou	
[4/19/23 01:15PM] Player picked up item: Lava bones, id: 2023, amount: 80, owner: Monsou	
[4/19/23 01:16PM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Monsou	
[4/19/23 01:16PM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Monsou	
