[4/20/23 11:14PM] Player picked up item: Coin, id: 995, amount: 100, owner: Killer Froob	
[4/20/23 11:14PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Killer Froob	
[4/20/23 11:14PM] Player picked up item: Coin, id: 995, amount: 100, owner: Killer Froob	
[4/20/23 11:14PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Killer Froob	
[4/20/23 11:14PM] Player picked up item: Coin, id: 995, amount: 100, owner: Killer Froob	
[4/20/23 11:15PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Killer Froob	
[4/20/23 11:15PM] Player picked up item: Coin, id: 995, amount: 100, owner: Killer Froob	
[4/20/23 11:15PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Killer Froob	
[4/20/23 11:16PM] Player picked up item: Coin, id: 995, amount: 100, owner: Killer Froob	
[4/20/23 11:16PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Killer Froob	
[4/20/23 11:16PM] Player picked up item: Coin, id: 995, amount: 100, owner: Killer Froob	
[4/20/23 11:16PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Killer Froob	
[4/20/23 11:17PM] Player picked up item: Coin, id: 995, amount: 100, owner: Killer Froob	
[4/20/23 11:17PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Killer Froob	
[4/20/23 11:17PM] Player picked up item: Coin, id: 995, amount: 100, owner: Killer Froob	
[4/20/23 11:17PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Killer Froob	
[4/20/23 11:17PM] Player picked up item: Coin, id: 995, amount: 100, owner: Killer Froob	
[4/20/23 11:17PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Killer Froob	
[4/20/23 11:18PM] Player picked up item: Coin, id: 995, amount: 100, owner: Killer Froob	
[4/20/23 11:18PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Killer Froob	
[4/20/23 11:18PM] Player picked up item: Coin, id: 995, amount: 100, owner: Killer Froob	
[4/20/23 11:18PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Killer Froob	
[4/20/23 11:18PM] Player picked up item: Coin, id: 995, amount: 100, owner: Killer Froob	
[4/20/23 11:18PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Killer Froob	
[4/20/23 11:18PM] Player picked up item: Coin, id: 995, amount: 100, owner: Killer Froob	
[4/20/23 11:18PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Killer Froob	
[4/20/23 11:18PM] Player picked up item: Coin, id: 995, amount: 100, owner: Killer Froob	
[4/20/23 11:18PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Killer Froob	
[4/20/23 11:18PM] Player picked up item: Coin, id: 995, amount: 100, owner: Killer Froob	
[4/20/23 11:18PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Killer Froob	
[4/20/23 11:19PM] Player picked up item: Coin, id: 995, amount: 200, owner: Killer Froob	
[4/20/23 11:19PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Killer Froob	
[4/20/23 11:19PM] Player picked up item: Coin, id: 995, amount: 200, owner: Killer Froob	
[4/20/23 11:19PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Killer Froob	
[4/20/23 11:19PM] Player picked up item: Coin, id: 995, amount: 200, owner: Killer Froob	
[4/20/23 11:19PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Killer Froob	
[4/20/23 11:19PM] Player picked up item: Coin, id: 995, amount: 200, owner: Killer Froob	
[4/20/23 11:19PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Killer Froob	
[4/20/23 11:20PM] Player picked up item: Coin, id: 995, amount: 200, owner: Killer Froob	
[4/20/23 11:20PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Killer Froob	
[4/20/23 11:20PM] Player picked up item: Coin, id: 995, amount: 200, owner: Killer Froob	
[4/20/23 11:20PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Killer Froob	
[4/20/23 11:20PM] Player picked up item: Coin, id: 995, amount: 200, owner: Killer Froob	
