[4/16/23 06:33PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ra	
[4/16/23 06:33PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ra	
[4/16/23 06:39PM] Player picked up item: Lava bones, id: 2023, amount: 8, owner: Ra	
[4/16/23 06:40PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ra	
[4/16/23 06:40PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ra	
[4/16/23 06:40PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Ra	
[4/16/23 06:41PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ra	
[4/16/23 06:41PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ra	
[4/16/23 06:41PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ra	
[4/16/23 06:41PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Ra	
[4/16/23 06:41PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Ra	
[4/16/23 06:43PM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Ra	
[4/16/23 06:43PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Ra	
[4/16/23 07:54PM] Player picked up item: Coin, id: 995, amount: 1667106, owner: Ra	
[4/16/23 07:54PM] Player picked up item: Lava bones, id: 2023, amount: 50, owner: Ra	
[4/17/23 04:24PM] Player picked up item: Imperial ring, id: 20093, amount: 1, owner: Ra	
[4/17/23 04:24PM] Player picked up item: Imperial ring, id: 20093, amount: 1, owner: Ra	
[4/17/23 04:27PM] Player picked up item: Imperial legs, id: 20088, amount: 1, owner: Ra	
[4/17/23 04:27PM] Player picked up item: Imperial legs, id: 20088, amount: 1, owner: Ra	
[4/17/23 04:27PM] Player picked up item: Imperial boots, id: 20089, amount: 1, owner: Ra	
[4/17/23 04:27PM] Player picked up item: Imperial boots, id: 20089, amount: 1, owner: Ra	
[4/17/23 04:28PM] Player picked up item: Imperial amulet, id: 20092, amount: 1, owner: Ra	
[4/17/23 04:28PM] Player picked up item: Imperial amulet, id: 20092, amount: 1, owner: Ra	
[4/17/23 04:28PM] Player picked up item: Imperial amulet, id: 20092, amount: 1, owner: Ra	
[4/17/23 04:28PM] Player picked up item: Coin, id: 995, amount: 2100, owner: Ra	
[4/17/23 04:28PM] Player picked up item: Imperial ring, id: 20093, amount: 1, owner: Ra	
[4/17/23 04:28PM] Player picked up item: Imperial ring, id: 20093, amount: 1, owner: Ra	
[4/17/23 04:29PM] Player picked up item: Coin, id: 995, amount: 700, owner: Ra	
[4/17/23 04:30PM] Player picked up item: Imperial Box, id: 14487, amount: 1, owner: Ra	
[4/17/23 04:30PM] Player picked up item: Imperial ring, id: 20093, amount: 1, owner: Ra	
[4/17/23 04:30PM] Player picked up item: Imperial ring, id: 20093, amount: 1, owner: Ra	
[4/17/23 04:30PM] Player picked up item: Imperial body, id: 20087, amount: 1, owner: Ra	
[4/17/23 04:31PM] Player picked up item: Imperial Box, id: 14487, amount: 1, owner: Ra	
[4/17/23 04:31PM] Player picked up item: Imperial Box, id: 14487, amount: 1, owner: Ra	
[4/17/23 04:32PM] Player picked up item: Coin, id: 995, amount: 3200, owner: Ra	
[4/17/23 04:32PM] Player picked up item: Coin, id: 995, amount: 800, owner: Ra	
[4/17/23 04:32PM] Player picked up item: Imperial helm, id: 20086, amount: 1, owner: Ra	
[4/17/23 04:32PM] Player picked up item: Imperial helm, id: 20086, amount: 1, owner: Ra	
