[4/18/23 04:10PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Reptile25	
[4/18/23 04:10PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Reptile25	
[4/18/23 04:10PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Reptile25	
[4/18/23 04:11PM] Player picked up item: Coin, id: 995, amount: 100, owner: Reptile25	
[4/18/23 04:11PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Reptile25	
[4/18/23 04:11PM] Player picked up item: Coin, id: 995, amount: 100, owner: Reptile25	
[4/18/23 04:11PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Reptile25	
[4/18/23 04:11PM] Player picked up item: Coin, id: 995, amount: 100, owner: Reptile25	
[4/18/23 04:11PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Reptile25	
[4/18/23 04:11PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Reptile25	
[4/18/23 04:11PM] Player picked up item: Coin, id: 995, amount: 100, owner: Reptile25	
[4/18/23 04:11PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Reptile25	
[4/18/23 04:11PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Reptile25	
[4/18/23 04:14PM] Player picked up item: Coin, id: 995, amount: 200, owner: Reptile25	
[4/18/23 04:14PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Reptile25	
[4/18/23 04:15PM] Player picked up item: Coin, id: 995, amount: 200, owner: Reptile25	
[4/18/23 04:15PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Reptile25	
[4/18/23 04:15PM] Player picked up item: Coin, id: 995, amount: 200, owner: Reptile25	
[4/18/23 04:15PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Reptile25	
[4/18/23 04:15PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Reptile25	
[4/18/23 04:17PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Reptile25	
[4/18/23 04:17PM] Player picked up item: Coin, id: 995, amount: 200, owner: Reptile25	
[4/18/23 04:17PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Reptile25	
[4/18/23 04:24PM] Player picked up item: Coin, id: 995, amount: 200, owner: Reptile25	
[4/18/23 04:24PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Reptile25	
[4/18/23 04:24PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Reptile25	
[4/18/23 04:24PM] Player picked up item: Coin, id: 995, amount: 200, owner: Reptile25	
[4/18/23 04:24PM] Player picked up item: Coin, id: 995, amount: 200, owner: Reptile25	
[4/18/23 04:24PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Reptile25	
