[4/22/23 04:05PM] Player picked up item: Starter Staff, id: 22092, amount: 1, owner: Pvmvet	
[4/22/23 04:37PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Pvmvet	
[4/22/23 04:37PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Pvmvet	
[4/22/23 04:38PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Pvmvet	
[4/22/23 04:38PM] Player picked up item: $1 Scroll, id: 10946, amount: 10, owner: Pvmvet	
[4/22/23 05:35PM] Player picked up item: Lava bones, id: 2023, amount: 600, owner: Pvmvet	
[4/22/23 05:35PM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Pvmvet	
[4/23/23 09:26AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Pvmvet	
[4/23/23 09:26AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Pvmvet	
[4/23/23 09:38AM] Player picked up item: Lava bones, id: 2023, amount: 100, owner: Pvmvet	
[4/23/23 09:38AM] Player picked up item: $1 Scroll, id: 10946, amount: 1, owner: Pvmvet	
[4/23/23 09:38AM] Player picked up item: $1 Scroll, id: 10946, amount: 2, owner: Pvmvet	
[4/23/23 09:38AM] Player picked up item: $10 Bond, id: 23057, amount: 1, owner: Pvmvet	
[4/23/23 09:38AM] Player picked up item: Lava bones, id: 2023, amount: 300, owner: Pvmvet	
[4/23/23 09:39AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Pvmvet	
[4/23/23 09:39AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Pvmvet	
[4/23/23 09:43AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Pvmvet	
[4/23/23 09:43AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Pvmvet	
[4/23/23 09:44AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Pvmvet	
[4/23/23 09:44AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Pvmvet	
[4/23/23 10:53AM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Pvmvet	
[4/23/23 10:53AM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Pvmvet	
