[4/20/23 05:24AM] Player picked up item: Coin, id: 995, amount: 100, owner: Dank Magic	
[4/20/23 05:24AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Dank Magic	
[4/20/23 05:24AM] Player picked up item: Coin, id: 995, amount: 100, owner: Dank Magic	
[4/20/23 05:25AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Dank Magic	
[4/20/23 05:25AM] Player picked up item: Coin, id: 995, amount: 100, owner: Dank Magic	
[4/20/23 05:25AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Dank Magic	
[4/20/23 05:25AM] Player picked up item: Coin, id: 995, amount: 100, owner: Dank Magic	
[4/20/23 05:25AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Dank Magic	
[4/20/23 05:25AM] Player picked up item: Coin, id: 995, amount: 100, owner: Dank Magic	
[4/20/23 05:25AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Dank Magic	
[4/20/23 05:25AM] Player picked up item: Coin, id: 995, amount: 100, owner: Dank Magic	
[4/20/23 05:25AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Dank Magic	
[4/20/23 05:25AM] Player picked up item: Coin, id: 995, amount: 100, owner: Dank Magic	
[4/20/23 05:25AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Dank Magic	
[4/20/23 05:26AM] Player picked up item: Coin, id: 995, amount: 100, owner: Dank Magic	
[4/20/23 05:26AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Dank Magic	
[4/20/23 05:26AM] Player picked up item: Coin, id: 995, amount: 100, owner: Dank Magic	
[4/20/23 05:26AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Dank Magic	
[4/20/23 05:26AM] Player picked up item: Coin, id: 995, amount: 100, owner: Dank Magic	
[4/20/23 05:26AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Dank Magic	
[4/20/23 05:26AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Dank Magic	
[4/20/23 05:26AM] Player picked up item: Coin, id: 995, amount: 100, owner: Dank Magic	
[4/20/23 05:27AM] Player picked up item: Coin, id: 995, amount: 200, owner: Dank Magic	
[4/20/23 05:27AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Dank Magic	
[4/20/23 05:27AM] Player picked up item: Coin, id: 995, amount: 200, owner: Dank Magic	
