[4/17/23 11:01PM] Player picked up item: Coin, id: 995, amount: 100, owner: Just Kirbs	
[4/17/23 11:02PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Just Kirbs	
[4/17/23 11:03PM] Player picked up item: Coin, id: 995, amount: 100, owner: Just Kirbs	
[4/17/23 11:03PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Just Kirbs	
[4/17/23 11:03PM] Player picked up item: Coin, id: 995, amount: 100, owner: Just Kirbs	
[4/17/23 11:03PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Just Kirbs	
[4/17/23 11:03PM] Player picked up item: Coin, id: 995, amount: 100, owner: Just Kirbs	
[4/17/23 11:03PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Just Kirbs	
[4/17/23 11:04PM] Player picked up item: Coin, id: 995, amount: 100, owner: Just Kirbs	
[4/17/23 11:05PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Just Kirbs	
[4/17/23 11:05PM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Just Kirbs	
[4/17/23 11:42PM] Player picked up item: Coin, id: 995, amount: 1631693, owner: Just Kirbs	
[4/17/23 11:42PM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Just Kirbs	
[4/17/23 11:59PM] Player picked up item: Coin, id: 995, amount: 100, owner: Just Kirbs	
[4/17/23 11:59PM] Player picked up item: Coin, id: 995, amount: 100, owner: Just Kirbs	
[4/18/23 12:00AM] Player picked up item: Coin, id: 995, amount: 200, owner: Just Kirbs	
[4/18/23 12:00AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Just Kirbs	
[4/18/23 12:00AM] Player picked up item: Coin, id: 995, amount: 400, owner: Just Kirbs	
[4/18/23 12:01AM] Player picked up item: Coin, id: 995, amount: 200, owner: Just Kirbs	
[4/18/23 12:01AM] Player picked up item: Blurite Boots, id: 19989, amount: 1, owner: Just Kirbs	
[4/18/23 12:01AM] Player picked up item: Coin, id: 995, amount: 200, owner: Just Kirbs	
[4/18/23 12:01AM] Player picked up item: Coin, id: 995, amount: 200, owner: Just Kirbs	
[4/18/23 12:01AM] Player picked up item: Coin, id: 995, amount: 200, owner: Just Kirbs	
[4/18/23 12:01AM] Player picked up item: Coin, id: 995, amount: 200, owner: Just Kirbs	
[4/18/23 12:01AM] Player picked up item: Coin, id: 995, amount: 200, owner: Just Kirbs	
