[4/15/23 07:05AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Tarnow	
[4/15/23 07:06AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Tarnow	
[4/15/23 07:06AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Tarnow	
[4/15/23 07:06AM] Player picked up item: Blurite Amulet, id: 19991, amount: 1, owner: Tarnow	
[4/15/23 07:06AM] Player picked up item: Coin, id: 995, amount: 100, owner: Tarnow	
[4/15/23 07:06AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Tarnow	
[4/15/23 07:06AM] Player picked up item: Coin, id: 995, amount: 100, owner: Tarnow	
[4/15/23 07:06AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Tarnow	
[4/15/23 07:06AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Tarnow	
[4/15/23 07:07AM] Player picked up item: Coin, id: 995, amount: 100, owner: Tarnow	
[4/15/23 07:07AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Tarnow	
[4/15/23 07:07AM] Player picked up item: Coin, id: 995, amount: 100, owner: Tarnow	
[4/15/23 07:07AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Tarnow	
[4/15/23 07:07AM] Player picked up item: Coin, id: 995, amount: 100, owner: Tarnow	
[4/15/23 07:07AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Tarnow	
[4/15/23 07:07AM] Player picked up item: Coin, id: 995, amount: 100, owner: Tarnow	
[4/15/23 07:07AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Tarnow	
[4/15/23 07:08AM] Player picked up item: Coin, id: 995, amount: 200, owner: Tarnow	
[4/15/23 07:08AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Tarnow	
[4/15/23 07:08AM] Player picked up item: Coin, id: 995, amount: 200, owner: Tarnow	
[4/15/23 07:08AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Tarnow	
[4/15/23 07:08AM] Player picked up item: Coin, id: 995, amount: 200, owner: Tarnow	
[4/15/23 07:08AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Tarnow	
