[4/20/23 11:43AM] Player picked up item: Coin, id: 995, amount: 100, owner: Buff	
[4/20/23 11:43AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Buff	
[4/20/23 11:43AM] Player picked up item: Coin, id: 995, amount: 100, owner: Buff	
[4/20/23 11:43AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Buff	
[4/20/23 11:43AM] Player picked up item: Coin, id: 995, amount: 100, owner: Buff	
[4/20/23 11:43AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Buff	
[4/20/23 11:43AM] Player picked up item: Coin, id: 995, amount: 100, owner: Buff	
[4/20/23 11:43AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Buff	
[4/20/23 11:43AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Buff	
[4/20/23 11:43AM] Player picked up item: Coin, id: 995, amount: 100, owner: Buff	
[4/20/23 11:45AM] Player picked up item: Coin, id: 995, amount: 200, owner: Buff	
[4/20/23 11:45AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Buff	
[4/20/23 11:45AM] Player picked up item: Coin, id: 995, amount: 200, owner: Buff	
[4/20/23 11:45AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Buff	
[4/20/23 11:46AM] Player picked up item: Coin, id: 995, amount: 200, owner: Buff	
[4/20/23 11:46AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Buff	
[4/20/23 11:46AM] Player picked up item: Coin, id: 995, amount: 200, owner: Buff	
[4/20/23 11:46AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Buff	
[4/20/23 11:46AM] Player picked up item: Coin, id: 995, amount: 200, owner: Buff	
[4/20/23 11:46AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Buff	
[4/20/23 11:47AM] Player picked up item: Coin, id: 995, amount: 200, owner: Buff	
[4/20/23 11:47AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Buff	
[4/20/23 11:47AM] Player picked up item: Coin, id: 995, amount: 200, owner: Buff	
[4/20/23 11:47AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Buff	
[4/20/23 11:48AM] Player picked up item: Coin, id: 995, amount: 400, owner: Buff	
[4/20/23 11:49AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Buff	
[4/20/23 11:49AM] Player picked up item: Coin, id: 995, amount: 200, owner: Buff	
[4/20/23 11:49AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Buff	
[4/20/23 11:50AM] Player picked up item: Coin, id: 995, amount: 200, owner: Buff	
[4/20/23 11:50AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Buff	
[4/20/23 11:50AM] Player picked up item: Coin, id: 995, amount: 200, owner: Buff	
[4/20/23 11:50AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Buff	
[4/20/23 11:50AM] Player picked up item: Coin, id: 995, amount: 200, owner: Buff	
[4/20/23 11:50AM] Player picked up item: Coin, id: 995, amount: 200, owner: Buff	
[4/20/23 11:50AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Buff	
[4/20/23 11:50AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Buff	
[4/20/23 11:51AM] Player picked up item: Coin, id: 995, amount: 200, owner: Buff	
[4/20/23 11:51AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Buff	
[4/20/23 11:54AM] Player picked up item: Coin, id: 995, amount: 900, owner: Buff	
[4/20/23 11:54AM] Player picked up item: Coin, id: 995, amount: 300, owner: Buff	
[4/20/23 11:54AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Buff	
[4/20/23 11:56AM] Player picked up item: Coin, id: 995, amount: 600, owner: Buff	
[4/20/23 11:56AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Buff	
[4/20/23 11:57AM] Player picked up item: Coin, id: 995, amount: 600, owner: Buff	
[4/20/23 11:57AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Buff	
[4/20/23 11:57AM] Player picked up item: Coin, id: 995, amount: 300, owner: Buff	
[4/20/23 11:57AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Buff	
[4/20/23 11:58AM] Player picked up item: Coin, id: 995, amount: 300, owner: Buff	
