[4/17/23 12:39PM] Player picked up item: Coin, id: 995, amount: 100, owner: Nobledefeat	
[4/17/23 12:39PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Nobledefeat	
[4/17/23 12:39PM] Player picked up item: Coin, id: 995, amount: 100, owner: Nobledefeat	
[4/17/23 12:39PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Nobledefeat	
[4/17/23 12:39PM] Player picked up item: Coin, id: 995, amount: 100, owner: Nobledefeat	
[4/17/23 12:39PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Nobledefeat	
[4/17/23 12:39PM] Player picked up item: Coin, id: 995, amount: 100, owner: Nobledefeat	
[4/17/23 12:39PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Nobledefeat	
[4/17/23 12:39PM] Player picked up item: Coin, id: 995, amount: 100, owner: Nobledefeat	
[4/17/23 12:39PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Nobledefeat	
[4/17/23 12:39PM] Player picked up item: Coin, id: 995, amount: 100, owner: Nobledefeat	
[4/17/23 12:39PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Nobledefeat	
[4/17/23 12:39PM] Player picked up item: Coin, id: 995, amount: 100, owner: Fataliity	
[4/17/23 12:39PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Fataliity	
[4/17/23 12:39PM] Player picked up item: Coin, id: 995, amount: 100, owner: Nobledefeat	
[4/17/23 12:39PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Nobledefeat	
[4/17/23 12:40PM] Player picked up item: Vote scroll, id: 23020, amount: 3, owner: Nobledefeat	
[4/17/23 12:40PM] Player picked up item: $1 Scroll, id: 10946, amount: 5, owner: Nobledefeat	
[4/17/23 12:41PM] Player picked up item: Coin, id: 995, amount: 100, owner: Nobledefeat	
[4/17/23 12:41PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Nobledefeat	
[4/17/23 12:41PM] Player picked up item: Coin, id: 995, amount: 100, owner: Nobledefeat	
[4/17/23 12:41PM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Nobledefeat	
