[4/19/23 12:21AM] Player picked up item: Coin, id: 995, amount: 200, owner: Dio	
[4/19/23 12:21AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Dio	
[4/19/23 12:22AM] Player picked up item: Blurite Legs, id: 19986, amount: 1, owner: Dio	
[4/19/23 12:28AM] Player picked up item: Coin, id: 995, amount: 1000, owner: Dio	
[4/19/23 12:44AM] Player picked up item: Coin, id: 995, amount: 1738947, owner: Dio	
[4/19/23 12:44AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Dio	
[4/19/23 12:52AM] Player picked up item: Coin, id: 995, amount: 3678938, owner: Dio	
[4/19/23 12:52AM] Player picked up item: Lava bones, id: 2023, amount: 40, owner: Dio	
[4/19/23 01:05AM] Player picked up item: Imperial Minigun, id: 18636, amount: 1, owner: Dio	
[4/22/23 11:06AM] Player picked up item: Infinite overload potion (T1), id: 23124, amount: 1, owner: Dio	
[4/23/23 01:27AM] Player picked up item: Solar Robe Bottom, id: 15647, amount: 1, owner: Dio	
[4/23/23 01:27AM] Player picked up item: Solar Robe Top, id: 15646, amount: 1, owner: Dio	
