[4/23/23 01:50AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Wackypanda	
[4/23/23 01:50AM] Player picked up item: Coin, id: 995, amount: 100, owner: Wackypanda	
[4/23/23 01:50AM] Player picked up item: Coin, id: 995, amount: 100, owner: Wackypanda	
[4/23/23 01:50AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Wackypanda	
[4/23/23 01:50AM] Player picked up item: Coin, id: 995, amount: 100, owner: Wackypanda	
[4/23/23 01:50AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Wackypanda	
[4/23/23 01:50AM] Player picked up item: Coin, id: 995, amount: 100, owner: Wackypanda	
[4/23/23 01:50AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Wackypanda	
[4/23/23 01:50AM] Player picked up item: Coin, id: 995, amount: 100, owner: Wackypanda	
[4/23/23 01:50AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Wackypanda	
[4/23/23 01:51AM] Player picked up item: Coin, id: 995, amount: 100, owner: Wackypanda	
[4/23/23 01:51AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Wackypanda	
[4/23/23 01:51AM] Player picked up item: Coin, id: 995, amount: 100, owner: Wackypanda	
[4/23/23 01:51AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Wackypanda	
[4/23/23 01:51AM] Player picked up item: Coin, id: 995, amount: 100, owner: Wackypanda	
[4/23/23 01:51AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Wackypanda	
[4/23/23 01:51AM] Player picked up item: Coin, id: 995, amount: 100, owner: Wackypanda	
[4/23/23 01:51AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Wackypanda	
[4/23/23 01:51AM] Player picked up item: Coin, id: 995, amount: 100, owner: Wackypanda	
[4/23/23 01:51AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Wackypanda	
[4/23/23 02:05AM] Player picked up item: Lava bones, id: 2023, amount: 25, owner: Wackypanda	
[4/23/23 02:05AM] Player picked up item: Coin, id: 995, amount: 1386368, owner: Wackypanda	
[4/23/23 02:13AM] Player picked up item: Imperial gloves, id: 20091, amount: 1, owner: Wackypanda	
[4/23/23 02:15AM] Player picked up item: Imperial amulet, id: 20092, amount: 1, owner: Wackypanda	
[4/23/23 02:16AM] Player picked up item: Coin, id: 995, amount: 1400, owner: Wackypanda	
[4/23/23 02:17AM] Player picked up item: Imperial helm, id: 20086, amount: 1, owner: Wackypanda	
[4/23/23 02:17AM] Player picked up item: Coin, id: 995, amount: 1600, owner: Wackypanda	
[4/23/23 02:19AM] Player picked up item: Coin, id: 995, amount: 1500, owner: Wackypanda	
[4/23/23 02:19AM] Player picked up item: Coin, id: 995, amount: 1500, owner: Wackypanda	
[4/23/23 02:20AM] Player picked up item: Coin, id: 995, amount: 9000, owner: Wackypanda	
[4/23/23 02:20AM] Player picked up item: Coin, id: 995, amount: 6000, owner: Wackypanda	
[4/23/23 02:21AM] Player picked up item: Coin, id: 995, amount: 10500, owner: Wackypanda	
[4/23/23 02:21AM] Player picked up item: Coin, id: 995, amount: 4500, owner: Wackypanda	
[4/23/23 02:21AM] Player picked up item: Coin, id: 995, amount: 1500, owner: Wackypanda	
[4/23/23 02:21AM] Player picked up item: Coin, id: 995, amount: 1500, owner: Wackypanda	
[4/23/23 02:21AM] Player picked up item: Mystic legs, id: 23023, amount: 1, owner: Wackypanda	
[4/23/23 02:22AM] Player picked up item: Coin, id: 995, amount: 1500, owner: Wackypanda	
[4/23/23 02:23AM] Player picked up item: Coin, id: 995, amount: 1500, owner: Wackypanda	
[4/23/23 02:23AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Wackypanda	
[4/23/23 02:23AM] Player picked up item: Coin, id: 995, amount: 1500, owner: Wackypanda	
[4/23/23 02:23AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Wackypanda	
[4/23/23 02:24AM] Player picked up item: Mystic helm, id: 23021, amount: 1, owner: Wackypanda	
[4/23/23 02:30AM] Player picked up item: Zinq boots, id: 23054, amount: 1, owner: Wackypanda	
[4/23/23 02:30AM] Player picked up item: Coin, id: 995, amount: 10000, owner: Wackypanda	
