[4/16/23 11:45AM] Player picked up item: Coin, id: 995, amount: 100, owner: Hyena	
[4/16/23 11:45AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Hyena	
[4/16/23 11:45AM] Player picked up item: Coin, id: 995, amount: 100, owner: Hyena	
[4/16/23 11:45AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Hyena	
[4/16/23 11:45AM] Player picked up item: Coin, id: 995, amount: 100, owner: Hyena	
[4/16/23 11:45AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Hyena	
[4/16/23 11:45AM] Player picked up item: Coin, id: 995, amount: 200, owner: Hyena	
[4/16/23 11:45AM] Player picked up item: Lava bones, id: 2023, amount: 2, owner: Hyena	
[4/16/23 11:46AM] Player picked up item: Coin, id: 995, amount: 100, owner: Hyena	
[4/16/23 11:46AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Hyena	
[4/16/23 11:46AM] Player picked up item: Coin, id: 995, amount: 100, owner: Hyena	
[4/16/23 11:46AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Hyena	
[4/16/23 11:46AM] Player picked up item: Coin, id: 995, amount: 100, owner: Hyena	
[4/16/23 11:46AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Hyena	
[4/16/23 11:46AM] Player picked up item: Coin, id: 995, amount: 100, owner: Hyena	
[4/16/23 11:46AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Hyena	
[4/16/23 11:46AM] Player picked up item: Coin, id: 995, amount: 100, owner: Hyena	
[4/16/23 11:46AM] Player picked up item: Lava bones, id: 2023, amount: 1, owner: Hyena	
[4/16/23 11:48AM] Player picked up item: Coin, id: 995, amount: 1000, owner: Hyena	
[4/16/23 11:48AM] Player picked up item: Lava bones, id: 2023, amount: 5, owner: Hyena	
[4/16/23 11:48AM] Player picked up item: Coin, id: 995, amount: 600, owner: Hyena	
[4/16/23 11:48AM] Player picked up item: Lava bones, id: 2023, amount: 3, owner: Hyena	
[4/16/23 11:49AM] Player picked up item: Blurite Gloves, id: 19988, amount: 1, owner: Hyena	
[4/16/23 11:49AM] Player picked up item: Lava bones, id: 2023, amount: 5, owner: Hyena	
[4/16/23 11:49AM] Player picked up item: Coin, id: 995, amount: 1000, owner: Hyena	
